Variable:,tas
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1901,19.32,20.94,12.39,7.59,10.19,9.50,16.23,11.03,13.12,7.61,17.73,16.22,15.03,15.81,21.63,11.10,26.30,23.64,10.36,17.89,21.82,9.74,22.62,12.67,23.76,25.17
1902,19.31,20.94,12.39,7.58,10.17,9.49,16.23,10.99,13.10,7.59,17.72,16.21,15.02,15.81,21.63,11.10,26.30,23.62,10.31,17.89,21.82,9.71,22.62,12.58,23.76,25.16
1903,19.13,20.94,12.34,7.15,9.73,9.07,16.23,10.61,12.69,7.22,17.61,15.83,14.73,15.80,21.63,10.87,26.29,23.24,9.87,17.67,21.82,9.28,22.61,12.15,23.76,24.96
1904,19.03,20.94,12.30,6.91,9.49,8.85,16.23,10.46,12.47,7.02,17.55,15.62,14.56,15.80,21.63,10.74,26.29,23.04,9.68,17.56,21.82,9.05,22.60,12.01,23.76,24.84
1905,19.26,20.94,12.37,7.45,10.04,9.37,16.23,10.90,12.99,7.49,17.69,16.10,14.94,15.81,21.63,11.03,26.29,23.52,10.20,17.83,21.82,9.59,22.61,12.49,23.76,25.10
1906,19.16,20.94,12.35,7.21,9.80,9.13,16.23,10.73,12.75,7.28,17.63,15.88,14.77,15.81,21.63,10.90,26.29,23.30,9.99,17.71,21.82,9.36,22.61,12.33,23.76,24.98
1907,19.12,20.94,12.34,7.13,9.72,9.06,16.23,10.61,12.68,7.21,17.61,15.81,14.72,15.80,21.63,10.86,26.29,23.24,9.87,17.67,21.82,9.27,22.61,12.14,23.76,24.95
1908,19.12,20.94,12.33,7.12,9.70,9.05,16.23,10.59,12.67,7.19,17.60,15.80,14.71,15.80,21.63,10.85,26.29,23.22,9.84,17.66,21.82,9.25,22.61,12.12,23.76,24.94
1909,19.00,20.94,12.29,6.84,9.42,8.79,16.23,10.37,12.40,6.96,17.53,15.56,14.51,15.80,21.63,10.70,26.29,22.98,9.58,17.52,21.82,8.98,22.60,11.86,23.76,24.81
1910,18.67,20.34,11.22,6.89,9.48,8.79,15.37,10.30,12.43,6.79,16.64,15.45,14.16,14.70,20.86,10.13,25.97,23.02,9.72,16.91,21.35,9.07,21.63,12.02,23.56,24.35
1911,19.08,20.65,11.84,7.47,10.04,9.36,15.81,10.67,12.98,7.39,17.25,16.03,14.76,15.27,21.25,10.75,26.14,23.52,10.04,17.51,21.59,9.54,22.14,12.18,23.66,24.87
1912,19.40,20.94,12.39,7.84,10.44,9.74,16.22,11.13,13.35,7.79,17.75,16.42,15.18,15.79,21.62,11.20,26.30,23.81,10.51,17.97,21.81,9.96,22.61,12.65,23.76,25.26
1913,19.46,21.11,12.66,7.79,10.35,9.71,16.46,11.00,13.29,7.80,17.95,16.42,15.22,16.10,21.84,11.30,26.38,23.72,10.34,18.07,21.94,9.79,22.87,12.45,23.81,25.34
1914,19.42,20.93,12.39,7.86,10.51,9.77,16.22,11.16,13.38,7.81,17.76,16.45,15.19,15.79,21.62,11.21,26.29,23.83,10.61,17.98,21.81,10.03,22.61,12.71,23.76,25.27
1915,19.59,21.02,12.58,8.14,10.82,10.03,16.33,11.52,13.64,8.08,17.97,16.71,15.44,15.95,21.72,11.45,26.34,24.08,11.00,18.21,21.87,10.39,22.75,13.11,23.78,25.48
1916,18.89,20.65,11.75,7.02,9.68,8.94,15.81,10.46,12.56,6.99,17.08,15.63,14.41,15.26,21.26,10.44,26.13,23.08,9.87,17.24,21.60,9.24,22.12,12.00,23.66,24.62
1917,19.16,21.04,12.44,7.29,9.74,9.24,16.36,10.19,12.79,7.35,17.66,15.96,14.81,15.97,21.75,10.92,26.34,23.24,9.45,17.71,21.89,9.02,22.75,11.49,23.79,25.02
1918,19.51,21.00,12.50,8.09,10.61,9.96,16.30,11.04,13.59,7.98,17.87,16.60,15.35,15.91,21.69,11.33,26.33,24.06,10.45,18.11,21.86,10.04,22.70,12.48,23.77,25.41
