Variable:,tas
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1901,5.18,8.52,4.19,7.45,6.58,2.74,5.09,1.92,3.49,8.88
1902,5.15,8.16,4.32,7.14,6.58,2.95,4.99,2.18,3.77,8.56
1903,5.70,9.02,4.66,7.96,7.16,3.32,5.56,2.45,4.01,9.37
1904,6.05,9.29,5.05,8.26,7.47,3.67,5.92,2.88,4.55,9.67
1905,5.59,8.94,4.57,7.91,7.06,3.19,5.51,2.25,3.81,9.32
1906,5.49,8.89,4.40,7.85,6.94,3.01,5.36,2.17,3.90,9.25
1907,5.48,8.81,4.42,7.80,6.96,3.03,5.37,2.18,3.86,9.22
1908,5.10,8.42,4.10,7.38,6.52,2.63,4.99,1.82,3.54,8.80
1909,4.97,8.48,3.95,7.33,6.35,2.39,4.93,1.56,3.26,8.78
1910,5.73,9.26,4.68,8.12,7.14,3.14,5.69,2.30,3.94,9.55
1911,6.24,9.57,5.19,8.50,7.67,3.79,6.09,3.06,4.78,9.90
1912,5.26,8.49,4.33,7.42,6.67,2.89,5.15,2.13,3.82,8.85
1913,5.66,8.91,4.62,7.89,7.09,3.25,5.51,2.49,4.22,9.31
1914,5.39,8.51,4.40,7.55,6.88,3.11,5.18,2.31,3.95,8.93
1915,5.47,8.85,4.42,7.78,6.92,2.99,5.38,2.18,3.86,9.20
1916,6.27,9.74,5.27,8.64,7.71,3.77,6.26,2.79,4.27,10.06
1917,5.25,8.73,4.26,7.59,6.66,2.75,5.24,1.80,3.35,9.02
1918,5.97,9.31,4.85,8.31,7.47,3.51,5.84,2.67,4.27,9.70
1919,5.09,8.58,4.07,7.43,6.49,2.53,5.08,1.67,3.49,8.85
1920,6.43,9.54,5.57,8.52,7.86,4.19,6.29,3.35,4.80,9.93
1921,6.41,9.60,5.36,8.58,7.84,4.08,6.22,3.34,5.02,9.99
1922,5.18,8.47,4.31,7.37,6.60,2.80,5.12,1.89,3.50,8.81
1923,6.01,9.36,5.02,8.25,7.42,3.58,5.92,2.75,4.42,9.70
1924,5.19,8.39,4.38,7.28,6.53,2.85,5.07,2.10,3.77,8.70
1925,5.61,8.99,4.57,7.93,7.04,3.15,5.49,2.33,3.95,9.36
1926,6.38,9.71,5.40,8.64,7.84,3.97,6.28,3.09,4.69,10.08
1927,6.06,9.39,5.17,8.26,7.43,3.66,5.99,2.83,4.44,9.70
1928,6.23,9.44,5.20,8.42,7.68,3.86,6.06,3.11,4.80,9.86
1929,5.44,8.61,4.53,7.58,6.86,3.10,5.30,2.32,4.00,8.99
1930,6.35,9.67,5.39,8.57,7.72,3.94,6.23,3.18,4.74,9.98
1931,5.20,8.57,4.29,7.46,6.61,2.77,5.13,1.87,3.44,8.89
1932,5.88,9.08,4.97,8.12,7.33,3.56,5.75,2.66,4.10,9.53
1933,4.90,8.16,3.93,7.11,6.28,2.47,4.76,1.75,3.53,8.52
1934,6.97,10.43,5.86,9.41,8.43,4.44,6.89,3.52,5.00,10.84
1935,5.70,9.12,4.62,8.04,7.11,3.17,5.62,2.38,4.12,9.45
1936,6.06,9.42,5.12,8.31,7.45,3.64,6.00,2.76,4.33,9.75
1937,6.12,9.46,4.99,8.42,7.56,3.66,5.97,2.91,4.60,9.83
1938,5.91,9.31,4.79,8.26,7.37,3.44,5.76,2.62,4.26,9.68
1939,5.80,9.22,4.84,8.09,7.18,3.36,5.74,2.49,4.03,9.50
1940,4.38,7.34,3.56,6.36,5.78,2.20,4.19,1.43,3.13,7.75
1941,4.86,8.04,3.91,6.99,6.30,2.56,4.69,1.77,3.44,8.39
1942,5.39,8.41,4.61,7.41,6.76,3.17,5.24,2.41,4.05,8.81
1943,6.52,9.67,5.54,8.67,7.94,4.18,6.36,3.44,5.21,10.08
1944,5.55,9.04,4.46,7.92,6.98,2.99,5.51,2.15,3.93,9.38
1945,6.33,9.72,5.21,8.66,7.74,3.80,6.23,3.05,4.90,10.12
1946,6.45,9.76,5.52,8.68,7.88,4.08,6.39,3.16,4.65,10.10
1947,6.47,9.53,5.54,8.52,7.89,4.24,6.25,3.54,5.27,9.92
1948,6.51,9.65,5.51,8.68,7.96,4.21,6.30,3.44,5.08,10.11
1949,6.54,9.84,5.52,8.75,7.89,4.12,6.40,3.39,5.24,10.21
1950,6.64,9.93,5.72,8.82,8.04,4.29,6.56,3.42,5.01,10.25
1951,6.67,10.12,5.65,9.02,8.08,4.19,6.57,3.32,4.80,10.49
1952,5.76,9.21,4.67,8.09,7.20,3.26,5.64,2.47,4.21,9.57
1953,6.43,9.62,5.44,8.68,7.87,4.08,6.27,3.24,4.82,10.08
1954,5.28,8.49,4.34,7.46,6.70,2.94,5.11,2.14,3.80,8.89
1955,5.45,8.70,4.52,7.65,6.87,3.06,5.33,2.25,3.96,9.08
1956,4.92,8.23,3.96,7.17,6.38,2.53,4.83,1.64,3.22,8.63
1957,6.38,9.64,5.40,8.64,7.81,3.99,6.27,3.13,4.64,10.07
1958,6.27,9.69,5.31,8.56,7.62,3.76,6.25,2.93,4.58,10.02
1959,6.52,9.71,5.55,8.68,7.88,4.11,6.41,3.44,5.19,10.10
