Variable:,tas
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
1901,19.49,18.66,21.20,18.16,19.05
1902,19.49,18.67,21.20,18.16,19.01
1903,19.59,18.78,21.30,18.26,19.11
1904,19.38,18.52,21.09,18.04,18.95
1905,19.51,18.70,21.20,18.19,19.05
1906,19.17,18.34,20.89,17.84,18.74
1907,18.94,18.12,20.65,17.61,18.50
1908,19.36,18.55,21.06,18.04,18.89
1909,19.25,18.43,20.95,17.93,18.80
1910,18.73,17.89,20.42,17.42,18.31
1911,18.98,18.12,20.67,17.67,18.59
1912,19.57,18.73,21.27,18.26,19.14
1913,19.78,18.94,21.48,18.47,19.36
1914,19.89,19.07,21.59,18.58,19.45
1915,19.50,18.65,21.19,18.18,19.08
1916,19.51,18.70,21.20,18.20,19.09
1917,19.04,18.24,20.73,17.72,18.59
1918,19.18,18.29,20.88,17.86,18.79
1919,19.46,18.59,21.13,18.15,19.07
1920,19.55,18.71,21.25,18.24,19.14
1921,19.15,18.30,20.84,17.83,18.73
1922,19.85,19.04,21.53,18.54,19.40
1923,19.85,19.00,21.54,18.53,19.44
1924,19.07,18.25,20.75,17.76,18.64
1925,19.49,18.61,21.20,18.16,19.10
1926,19.64,18.79,21.33,18.33,19.22
1927,19.78,18.90,21.47,18.47,19.40
1928,19.63,18.82,21.32,18.33,19.19
1929,19.55,18.71,21.23,18.24,19.14
1930,19.28,18.43,20.96,17.97,18.88
1931,20.01,19.15,21.70,18.69,19.60
1932,20.05,19.16,21.73,18.73,19.67
1933,19.96,19.06,21.66,18.65,19.59
1934,20.12,19.23,21.81,18.81,19.75
1935,19.18,18.31,20.87,17.87,18.79
1936,19.53,18.64,21.22,18.21,19.15
1937,19.87,18.98,21.57,18.56,19.50
1938,20.04,19.15,21.73,18.73,19.67
1939,19.46,18.55,21.16,18.13,19.09
1940,20.19,19.29,21.89,18.87,19.82
1941,20.63,19.75,22.33,19.31,20.24
1942,20.13,19.27,21.82,18.80,19.72
1943,19.52,18.64,21.22,18.18,19.12
1944,20.21,19.35,21.92,18.89,19.80
1945,19.93,19.00,21.61,18.61,19.63
1946,20.34,19.45,22.03,19.02,19.96
1947,20.29,19.44,21.98,18.98,19.88
1948,20.01,19.12,21.71,18.68,19.64
1949,20.08,19.18,21.77,18.76,19.71
1950,20.15,19.28,21.85,18.82,19.76
1951,19.70,18.81,21.38,18.38,19.33
1952,20.29,19.40,21.98,18.98,19.93
1953,19.66,18.76,21.37,18.34,19.28
1954,19.71,18.83,21.42,18.38,19.32
1955,19.26,18.38,20.97,17.94,18.87
1956,19.90,19.02,21.60,18.58,19.51
1957,20.40,19.52,22.10,19.08,20.03
1958,20.40,19.50,22.10,19.08,20.02
1959,20.11,19.22,21.81,18.79,19.74
1960,19.88,19.01,21.60,18.56,19.46
1961,20.14,19.24,21.83,18.83,19.75
1962,20.37,19.52,22.06,19.08,19.96
1963,19.75,18.82,21.44,18.45,19.40
1964,19.70,18.80,21.40,18.40,19.33
1965,19.79,18.89,21.48,18.50,19.38
1966,20.00,19.10,21.71,18.69,19.62
1967,19.60,18.62,21.33,18.25,19.29
1968,19.66,18.75,21.36,18.36,19.28
1969,20.31,19.36,22.03,19.00,19.96
1970,20.47,19.61,22.17,19.16,20.07
1971,19.80,18.88,21.51,18.50,19.44
1972,19.85,18.93,21.54,18.55,19.49
1973,19.98,19.10,21.68,18.67,19.58
1974,19.82,18.82,21.55,18.45,19.55
1975,19.66,18.74,21.37,18.34,19.31
1976,19.63,18.66,21.36,18.28,19.33
1977,20.38,19.42,22.10,19.04,20.05
1978,20.05,19.18,21.73,18.73,19.70
1979,20.31,19.43,22.01,18.99,19.94
1980,20.03,19.04,21.76,18.68,19.74
1981,19.53,18.63,21.21,18.20,19.19
1982,20.34,19.46,22.02,19.04,19.94
1983,20.85,19.97,22.54,19.56,20.46
1984,20.19,19.35,21.86,18.91,19.77
1985,20.73,19.83,22.42,19.42,20.38
1986,20.61,19.73,22.30,19.30,20.23
1987,20.76,19.89,22.47,19.44,20.36
1988,20.46,19.58,22.16,19.12,20.08
1989,20.19,19.32,21.89,18.84,19.84
1990,20.17,19.33,21.82,18.86,19.79
1991,20.47,19.56,22.18,19.11,20.12
1992,21.20,20.32,22.89,19.89,20.83
1993,20.85,19.96,22.54,19.54,20.48
1994,19.91,19.01,21.61,18.59,19.54
1995,20.51,19.64,22.20,19.18,20.13
1996,20.00,19.13,21.70,18.67,19.63
1997,20.16,19.30,21.85,18.83,19.77
1998,20.82,19.97,22.50,19.50,20.43
1999,20.72,19.80,22.42,19.40,20.38
2000,19.89,18.96,21.59,18.56,19.54
2001,20.36,19.47,22.06,19.04,19.98
2002,20.47,19.61,22.17,19.15,20.08
2003,20.85,19.95,22.54,19.54,20.49
2004,20.90,20.01,22.58,19.59,20.54
2005,21.23,20.38,22.92,19.92,20.83
2006,20.54,19.67,22.25,19.22,20.14
2007,20.80,19.91,22.50,19.49,20.43
2008,20.93,20.03,22.61,19.62,20.56
2009,20.78,19.89,22.47,19.46,20.40
2010,21.03,20.12,22.72,19.71,20.68
2011,20.52,19.64,22.23,19.19,20.12
2012,20.95,20.07,22.65,19.63,20.55
2013,20.82,19.91,22.52,19.52,20.46
2014,20.90,19.99,22.60,19.58,20.53
2015,21.47,20.61,23.14,20.17,21.07
2016,21.51,20.62,23.20,20.21,21.15
2017,21.02,20.10,22.71,19.71,20.68
2018,21.36,20.48,23.06,20.04,20.98
2019,21.78,20.93,23.45,20.49,21.40
2020,20.99,20.08,22.68,19.67,20.63
