Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1901,20.44,21.39,18.21,20.40,13.69,24.84,26.39,13.78,0.02
1902,20.77,21.76,18.45,20.62,13.95,25.11,26.83,13.97,0.19
1903,19.88,20.92,17.46,19.66,12.89,24.30,25.90,13.04,-0.85
1904,20.34,21.32,18.03,20.25,13.53,24.69,26.33,13.64,-0.07
1905,19.94,21.03,17.61,19.71,13.03,24.24,25.93,13.03,-0.74
1906,20.19,21.12,18.01,20.29,13.59,24.55,25.99,13.65,0.07
1907,19.92,20.96,17.50,19.73,12.98,24.23,25.98,13.10,-0.61
1908,19.95,20.83,17.84,20.17,13.42,24.38,25.70,13.54,-0.12
1909,19.84,20.73,17.85,20.16,13.51,24.08,25.54,13.52,0.09
1910,19.82,20.74,17.65,19.94,13.25,24.14,25.64,13.30,-0.25
1911,20.07,20.97,17.80,20.05,13.31,24.49,26.02,13.45,-0.07
1912,20.39,21.34,18.09,20.34,13.73,24.64,26.33,13.75,0.39
1913,19.97,20.97,17.79,19.97,13.35,24.22,25.89,13.32,-0.34
1914,20.30,21.23,18.21,20.40,13.89,24.51,26.09,13.79,0.42
1915,20.78,21.62,18.84,21.11,14.47,25.13,26.53,14.42,0.87
1916,20.21,21.06,18.05,20.37,13.63,24.63,26.06,13.78,0.21
1917,19.79,20.71,17.87,20.12,13.61,23.88,25.43,13.46,0.19
1918,19.99,20.92,17.63,20.05,13.23,24.36,25.99,13.35,-0.28
1919,19.86,20.91,17.42,19.62,12.93,24.13,25.92,12.97,-0.57
1920,19.85,21.00,17.11,19.39,12.57,24.14,26.13,12.74,-1.02
1921,20.62,21.60,18.07,20.40,13.55,25.08,26.76,13.74,-0.04
1922,20.40,21.30,18.16,20.43,13.83,24.72,26.26,13.82,0.42
1923,19.94,20.89,17.47,19.80,13.06,24.31,25.96,13.21,-0.34
1924,20.13,21.12,17.66,19.96,13.25,24.42,26.22,13.36,-0.13
1925,20.20,21.22,17.84,20.06,13.41,24.41,26.24,13.36,-0.07
1926,20.03,21.05,17.68,19.91,13.31,24.18,26.05,13.30,-0.09
1927,19.87,20.84,17.66,19.87,13.30,24.10,25.64,13.27,-0.06
1928,20.29,21.27,17.82,20.12,13.29,24.80,26.27,13.49,-0.26
1929,20.04,21.03,17.61,19.86,13.06,24.48,26.13,13.27,-0.61
1930,19.89,20.90,17.46,19.64,12.95,24.21,25.97,13.07,-0.62
1931,20.25,21.08,18.03,20.40,13.56,24.74,26.30,13.79,-0.07
1932,20.48,21.30,18.32,20.66,13.82,24.98,26.46,14.01,0.16
1933,20.08,21.00,17.91,20.15,13.49,24.35,26.06,13.51,-0.09
1934,20.27,21.24,17.94,20.30,13.42,24.73,26.24,13.66,-0.32
1935,19.73,20.62,17.46,19.69,12.99,24.16,25.80,13.10,-0.68
1936,20.27,21.17,18.10,20.39,13.69,24.64,26.17,13.79,0.04
1937,19.89,20.78,17.60,19.97,13.15,24.34,25.88,13.36,-0.43
1938,20.29,21.23,17.95,20.18,13.46,24.74,26.21,13.57,-0.05
1939,20.31,21.27,17.95,20.17,13.51,24.68,26.28,13.59,0.01
1940,20.59,21.57,18.35,20.56,13.95,24.85,26.48,13.96,0.48
1941,21.34,22.26,19.19,21.41,14.74,25.80,27.02,14.79,1.20
1942,20.55,21.48,18.35,20.63,13.91,24.92,26.36,14.02,0.37
1943,20.41,21.25,18.21,20.58,13.71,24.93,26.28,13.96,0.17
1944,20.23,21.17,18.03,20.28,13.67,24.53,26.10,13.66,0.13
1945,19.92,20.87,17.73,20.01,13.28,24.28,25.75,13.40,-0.34
1946,20.85,21.61,18.89,21.23,14.45,25.46,26.44,14.63,0.83
1947,21.02,21.97,18.90,21.10,14.40,25.48,26.70,14.45,0.75
1948,20.49,21.54,18.14,20.26,13.50,24.86,26.52,13.57,-0.17
1949,20.25,21.11,17.92,20.39,13.35,24.78,26.30,13.72,-0.18
1950,19.31,20.13,16.99,19.40,12.64,23.71,25.36,12.83,-0.77
1951,20.30,21.20,18.04,20.34,13.52,24.78,26.29,13.70,-0.13
1952,20.41,21.23,18.23,20.64,13.75,24.98,26.30,13.93,0.09
1953,20.95,21.86,18.76,21.11,14.20,25.49,26.76,14.45,0.50
1954,20.31,21.23,17.96,20.35,13.39,24.85,26.35,13.64,-0.34
1955,20.29,21.14,18.12,20.41,13.72,24.72,26.21,13.75,0.18
1956,20.19,20.95,18.14,20.58,13.83,24.66,25.84,13.98,0.50
1957,19.52,20.49,17.02,19.35,12.51,23.86,25.66,12.77,-0.85
1958,20.95,21.94,18.64,21.03,14.05,25.42,26.89,14.23,0.37
1959,20.50,21.58,18.13,20.39,13.63,24.80,26.38,13.74,0.03
1960,20.27,21.13,18.13,20.52,13.60,24.80,26.09,13.82,0.04
1961,20.13,21.13,17.92,20.19,13.53,24.39,25.87,13.57,0.04
1962,20.14,21.03,17.87,20.22,13.45,24.55,26.06,13.58,-0.05
1963,20.83,21.88,18.45,20.59,13.99,25.08,26.78,13.95,0.47
1964,19.82,20.73,17.46,19.76,12.93,24.22,25.84,13.16,-0.39
1965,20.13,21.22,17.56,19.76,13.06,24.32,26.24,13.13,-0.21
1966,20.21,21.21,17.80,20.15,13.44,24.44,26.22,13.50,0.03
1967,20.05,21.22,17.47,19.87,13.09,24.18,26.00,13.27,-0.37
1968,19.92,20.92,17.28,19.64,12.97,24.14,26.03,13.07,-0.21
1969,20.67,21.69,18.19,20.54,13.60,25.04,26.81,13.87,0.11
1970,20.77,21.75,18.60,20.91,14.30,25.05,26.46,14.35,0.76
1971,20.53,21.43,18.39,20.65,14.17,24.77,26.20,14.15,0.81
1972,19.71,20.41,17.22,19.81,12.95,24.24,25.87,13.28,-0.22
1973,20.41,21.31,18.08,20.47,13.81,24.72,26.22,13.93,0.65
1974,20.05,20.92,17.60,20.07,13.25,24.43,26.20,13.42,-0.24
1975,19.79,20.84,17.26,19.55,12.86,24.01,25.86,12.95,-0.51
1976,20.08,21.10,17.61,19.89,13.25,24.26,26.16,13.32,-0.15
1977,20.88,22.04,18.39,20.62,13.99,24.96,26.88,13.98,0.56
1978,20.44,21.47,18.09,20.41,13.75,24.64,26.31,13.82,0.32
1979,20.26,21.11,17.91,20.34,13.73,24.53,26.24,13.76,0.43
1980,20.76,21.89,18.11,20.43,13.86,24.88,26.72,13.91,0.60
1981,20.57,21.72,18.03,20.20,13.70,24.68,26.57,13.64,0.23
1982,19.88,20.94,17.25,19.62,12.95,23.97,26.07,13.02,-0.24
1983,19.99,21.26,17.41,19.56,13.12,23.85,25.98,12.99,-0.22
1984,20.28,21.29,18.07,20.28,13.70,24.50,26.09,13.69,0.14
1985,20.61,21.50,18.48,20.72,14.15,24.89,26.48,14.10,0.66
1986,19.96,20.98,17.53,19.64,13.22,24.02,26.11,13.11,-0.11
1987,20.77,21.78,18.54,20.64,14.03,24.95,26.93,13.93,0.30
1988,21.22,22.32,19.00,20.97,14.46,25.34,27.25,14.33,0.75
1989,20.00,21.07,17.54,19.78,13.15,24.08,26.19,13.14,-0.31
1990,20.75,21.82,18.56,20.68,14.13,24.88,26.55,14.05,0.67
1991,20.29,21.43,17.74,19.85,13.24,24.48,26.38,13.25,-0.23
1992,20.09,21.15,17.51,19.76,13.11,24.28,26.24,13.16,-0.23
1993,20.79,21.90,18.20,20.40,13.70,24.94,27.08,13.77,0.22
1994,20.50,21.62,17.87,20.11,13.49,24.65,26.57,13.53,0.20
1995,20.31,21.42,17.59,19.82,13.18,24.46,26.62,13.20,-0.29
1996,20.24,21.29,17.70,19.91,13.24,24.45,26.44,13.29,-0.19
1997,19.79,21.03,16.96,19.20,12.72,23.64,25.93,12.72,-0.19
1998,20.85,22.08,18.04,20.24,13.67,24.85,27.07,13.69,0.46
1999,21.26,22.27,18.92,21.18,14.56,25.52,27.10,14.61,1.22
2000,21.05,22.05,18.63,20.89,14.27,25.31,27.02,14.29,0.90
2001,21.15,22.35,18.61,20.81,14.24,25.20,27.04,14.25,0.99
2002,21.19,22.30,18.53,20.80,14.18,25.36,27.25,14.21,0.89
2003,20.73,22.03,17.99,20.15,13.61,24.56,26.89,13.59,0.41
2004,21.43,22.65,18.79,20.88,14.37,25.40,27.52,14.31,1.17
2005,20.53,21.80,17.78,19.98,13.50,24.41,26.58,13.44,0.43
2006,21.24,22.55,18.55,20.74,14.19,25.14,27.20,14.15,1.05
2007,21.21,22.38,18.52,20.68,14.19,25.15,27.31,14.19,1.31
2008,21.11,22.40,18.67,20.73,14.22,25.00,27.00,14.15,0.90
2009,21.50,22.83,18.64,20.81,14.18,25.38,27.76,14.26,1.11
2010,21.57,22.89,18.72,20.89,14.29,25.54,27.73,14.34,1.02
2011,21.26,22.61,18.52,20.70,14.10,25.16,27.26,14.15,0.90
2012,20.68,21.96,17.88,20.18,13.48,24.69,26.77,13.62,0.27
2013,21.27,22.54,18.61,20.89,14.26,25.24,27.17,14.35,1.13
2014,20.91,22.13,18.30,20.51,13.90,24.85,27.01,13.94,0.66
2015,21.13,22.53,18.18,20.34,13.84,24.88,27.35,13.84,0.82
2016,21.77,23.11,18.93,21.10,14.48,25.75,27.82,14.56,1.33
2017,21.51,22.83,18.75,20.90,14.29,25.53,27.53,14.34,0.94
2018,21.82,23.19,19.13,21.24,14.65,25.77,27.87,14.61,1.13
2019,20.94,22.28,18.04,20.12,13.66,24.80,27.19,13.62,0.56
2020,20.79,22.01,17.83,20.09,13.50,24.76,27.14,13.57,0.46
