Variable:,tas
,Samoa,"Administrative unit not available"
1901,26.44,26.43
1902,26.44,26.43
1903,26.19,26.18
1904,25.93,25.92
1905,26.02,26.01
1906,26.48,26.46
1907,26.03,26.01
1908,26.04,26.03
1909,25.80,25.79
1910,25.90,25.89
1911,26.48,26.46
1912,26.86,26.85
1913,26.68,26.67
1914,26.93,26.92
1915,26.34,26.33
1916,26.08,26.06
1917,25.95,25.94
1918,26.14,26.13
1919,26.91,26.90
1920,26.86,26.85
1921,26.85,26.83
1922,27.08,27.06
1923,26.48,26.46
1924,26.98,26.96
1925,26.65,26.64
1926,26.87,26.85
1927,26.98,26.96
1928,26.78,26.76
1929,26.58,26.57
1930,26.61,26.59
1931,26.54,26.53
1932,26.79,26.78
1933,26.63,26.61
1934,26.62,26.60
1935,26.89,26.89
1936,26.74,26.72
1937,26.75,26.71
1938,26.95,26.94
1939,26.52,26.50
1940,26.84,26.81
1941,27.08,27.05
1942,26.85,26.82
1943,26.80,26.78
1944,26.62,26.59
1945,26.70,26.69
1946,26.74,26.71
1947,26.91,26.88
1948,26.60,26.57
1949,26.84,26.83
1950,26.86,26.85
1951,26.87,26.84
1952,27.17,27.15
1953,26.97,26.94
1954,26.95,26.94
1955,26.79,26.79
1956,26.68,26.67
1957,26.89,26.87
1958,27.12,27.09
1959,27.15,27.12
1960,27.01,26.98
1961,26.93,26.89
1962,26.85,26.83
1963,26.91,26.88
1964,26.78,26.75
1965,26.50,26.48
1966,26.83,26.81
1967,26.58,26.56
1968,26.78,26.76
1969,26.91,26.89
1970,26.85,26.84
1971,26.42,26.39
1972,26.71,26.70
1973,26.88,26.87
1974,26.40,26.38
1975,26.64,26.62
1976,26.56,26.53
1977,26.83,26.82
1978,26.75,26.74
1979,26.98,26.97
1980,26.98,26.97
1981,26.82,26.80
1982,26.92,26.90
1983,27.00,27.00
1984,26.90,26.89
1985,26.95,26.93
1986,26.90,26.90
1987,26.78,26.77
1988,27.08,27.07
1989,26.76,26.75
1990,27.25,27.23
1991,27.26,27.25
1992,27.24,27.24
1993,27.06,27.04
1994,27.14,27.14
1995,27.47,27.48
1996,27.64,27.64
1997,27.50,27.49
1998,27.63,27.62
1999,27.45,27.44
2000,27.65,27.65
2001,28.16,28.16
2002,28.14,28.14
2003,27.72,27.71
2004,27.60,27.59
2005,27.86,27.85
2006,27.56,27.54
2007,27.92,27.91
2008,27.64,27.63
2009,27.59,27.58
2010,27.69,27.68
2011,27.28,27.27
2012,27.37,27.35
2013,27.63,27.61
2014,27.46,27.45
2015,27.38,27.37
2016,27.87,27.86
2017,27.69,27.68
2018,27.57,27.55
2019,27.79,27.78
2020,27.75,27.74
