Variable:,tas
,Bermuda,"Administrative unit not available"
1901,21.28,21.28
1902,21.31,21.31
1903,21.33,21.33
1904,21.26,21.26
1905,21.32,21.32
1906,21.39,21.39
1907,21.34,21.34
1908,21.40,21.40
1909,21.38,21.38
1910,21.38,21.38
1911,21.39,21.39
1912,21.38,21.38
1913,21.42,21.42
1914,21.33,21.33
1915,21.36,21.36
1916,21.37,21.37
1917,21.30,21.30
1918,21.33,21.33
1919,21.38,21.38
1920,21.31,21.31
1921,21.43,21.43
1922,21.40,21.40
1923,21.38,21.38
1924,21.33,21.33
1925,21.43,21.43
1926,21.37,21.37
1927,21.38,21.38
1928,21.38,21.38
1929,21.42,21.42
1930,21.40,21.40
1931,20.93,20.93
1932,21.01,21.01
1933,21.30,21.30
1934,21.17,21.17
1935,20.74,20.74
1936,21.18,21.18
1937,21.38,21.38
1938,21.45,21.45
1939,21.13,21.13
1940,20.13,20.13
1941,20.67,20.67
1942,21.01,21.01
1943,20.98,20.98
1944,20.74,20.74
1945,21.07,21.07
1946,21.14,21.14
1947,21.18,21.18
1948,21.04,21.04
1949,21.33,21.33
1950,21.19,21.19
1951,21.43,21.43
1952,21.51,21.51
1953,21.73,21.73
1954,21.65,21.65
1955,21.02,21.02
1956,21.44,21.44
1957,20.98,20.98
1958,20.71,20.71
1959,21.32,21.32
1960,21.07,21.07
1961,21.10,21.10
1962,21.06,21.06
1963,20.69,20.69
1964,20.65,20.65
1965,20.50,20.50
1966,20.72,20.72
1967,20.63,20.63
1968,20.73,20.73
1969,20.87,20.87
1970,20.52,20.52
1971,21.15,21.15
1972,21.37,21.37
1973,21.18,21.18
1974,21.83,21.83
1975,21.95,21.95
1976,21.75,21.75
1977,21.21,21.21
1978,21.36,21.36
1979,21.35,21.35
1980,21.36,21.36
1981,20.61,20.61
1982,22.21,22.21
1983,21.88,21.88
1984,21.69,21.69
1985,21.56,21.56
1986,21.74,21.74
1987,21.35,21.35
1988,22.26,22.26
1989,22.61,22.61
1990,22.48,22.48
1991,22.52,22.52
1992,22.17,22.17
1993,22.26,22.26
1994,22.31,22.31
1995,21.57,21.57
1996,21.35,21.35
1997,21.35,21.35
1998,21.40,21.40
1999,21.42,21.42
2000,21.38,21.38
2001,21.36,21.36
2002,21.48,21.48
2003,21.38,21.38
2004,21.44,21.44
2005,21.29,21.29
2006,21.38,21.38
2007,21.38,21.38
2008,21.36,21.36
2009,21.46,21.46
2010,20.91,20.91
2011,21.52,21.52
2012,21.64,21.64
2013,21.23,21.23
2014,21.90,21.90
2015,21.99,21.99
2016,22.10,22.10
2017,22.01,22.01
2018,22.03,22.03
2019,22.07,22.07
2020,21.87,21.87
