Variable:,tas
,"Virgin Islands","Saint Croix (County Equivalent)","Saint John (County Equivalent)","Saint Thomas (County Equivalent)"
1901,25.40,25.40,25.27,25.27
1902,24.98,24.98,24.86,24.86
1903,25.06,25.06,24.96,24.96
1904,24.56,24.56,24.43,24.43
1905,24.91,24.91,24.81,24.81
1906,24.72,24.72,24.61,24.61
1907,24.38,24.38,24.28,24.28
1908,24.60,24.60,24.48,24.48
1909,24.49,24.49,24.36,24.36
1910,24.49,24.49,24.36,24.36
1911,24.48,24.48,24.36,24.36
1912,24.83,24.83,24.73,24.73
1913,24.17,24.17,24.04,24.04
1914,24.56,24.56,24.44,24.44
1915,25.14,25.14,25.04,25.04
1916,24.67,24.67,24.54,24.54
1917,24.33,24.33,24.16,24.16
1918,24.44,24.44,24.30,24.30
1919,24.63,24.63,24.50,24.50
1920,24.43,24.43,24.35,24.35
1921,24.38,24.38,24.21,24.21
1922,24.27,24.27,24.11,24.11
1923,24.75,24.75,24.61,24.61
1924,25.13,25.13,25.03,25.03
1925,24.65,24.65,24.51,24.51
1926,25.22,25.22,25.10,25.10
1927,24.85,24.85,24.73,24.73
1928,24.88,24.88,24.77,24.77
1929,24.53,24.53,24.39,24.39
1930,24.78,24.78,24.67,24.67
1931,25.50,25.50,25.40,25.40
1932,25.53,25.53,25.38,25.38
1933,25.16,25.16,25.03,25.03
1934,25.03,25.03,24.86,24.86
1935,24.89,24.89,24.77,24.77
1936,25.16,25.16,25.04,25.04
1937,25.38,25.38,25.25,25.25
1938,24.93,24.93,24.78,24.78
1939,25.13,25.13,24.98,24.98
1940,25.75,25.75,25.60,25.60
1941,25.79,25.79,25.62,25.62
1942,25.87,25.87,25.72,25.72
1943,25.25,25.25,25.12,25.12
1944,25.43,25.43,25.28,25.28
1945,24.93,24.93,24.78,24.78
1946,25.09,25.09,24.96,24.96
1947,25.43,25.43,25.28,25.28
1948,25.43,25.43,25.32,25.32
1949,25.13,25.13,24.98,24.98
1950,24.89,24.89,24.75,24.75
1951,25.45,25.45,25.32,25.32
1952,25.48,25.48,25.36,25.35
1953,25.35,25.35,25.23,25.23
1954,25.17,25.17,25.04,25.04
1955,25.16,25.16,25.03,25.02
1956,25.01,25.01,24.89,24.89
1957,25.34,25.34,25.23,25.24
1958,25.86,25.86,25.72,25.72
1959,25.47,25.47,25.35,25.35
1960,25.70,25.70,25.59,25.59
1961,25.41,25.41,25.31,25.31
1962,25.50,25.50,25.36,25.36
1963,25.65,25.65,25.51,25.51
1964,25.53,25.53,25.38,25.38
1965,25.39,25.39,25.24,25.24
1966,25.66,25.66,25.57,25.57
1967,25.38,25.38,25.33,25.33
1968,25.44,25.44,25.36,25.36
1969,25.92,25.92,25.81,25.81
1970,25.71,25.71,25.60,25.60
1971,25.29,25.29,25.23,25.23
1972,25.57,25.57,25.53,25.53
1973,25.68,25.68,25.62,25.62
1974,25.26,25.26,25.24,25.24
1975,25.29,25.29,25.23,25.23
1976,25.14,25.14,25.11,25.11
1977,25.64,25.64,25.55,25.55
1978,25.73,25.73,25.61,25.61
1979,25.69,25.69,25.63,25.63
1980,26.32,26.32,26.25,26.25
1981,26.24,26.24,26.09,26.09
1982,25.90,25.90,25.68,25.68
1983,26.51,26.51,26.31,26.31
1984,25.91,25.91,25.72,25.72
1985,25.83,25.83,25.61,25.61
1986,26.00,26.00,25.78,25.78
1987,26.54,26.54,26.38,26.37
1988,26.18,26.18,25.99,25.99
1989,25.81,25.81,25.64,25.64
1990,26.09,26.09,25.93,25.93
1991,26.18,26.18,26.06,26.06
1992,26.23,26.23,26.10,26.10
1993,26.33,26.33,26.22,26.22
1994,26.18,26.18,26.07,26.07
1995,26.38,26.38,26.27,26.27
1996,26.26,26.26,26.13,26.13
1997,26.48,26.48,26.38,26.38
1998,26.78,26.78,26.67,26.67
1999,26.28,26.28,26.16,26.16
2000,26.17,26.17,26.05,26.05
2001,26.48,26.48,26.38,26.38
2002,26.62,26.62,26.48,26.48
2003,26.52,26.52,26.38,26.38
2004,26.12,26.12,26.00,26.00
2005,26.43,26.43,26.30,26.30
2006,26.28,26.28,26.13,26.14
2007,26.34,26.34,26.21,26.21
2008,25.98,25.98,25.83,25.83
2009,26.45,26.45,26.29,26.29
2010,26.62,26.62,26.48,26.48
2011,26.14,26.14,26.00,26.00
2012,26.38,26.38,26.26,26.26
2013,26.41,26.41,26.30,26.30
2014,26.45,26.45,26.33,26.33
2015,26.69,26.69,26.58,26.58
2016,26.69,26.69,26.57,26.57
2017,26.56,26.56,26.43,26.43
2018,26.23,26.23,26.11,26.11
2019,26.66,26.66,26.54,26.54
2020,26.65,26.65,26.55,26.55
