Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1901,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1902,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1903,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1904,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1905,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1906,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1907,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1908,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1909,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1910,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1911,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1912,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1913,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1914,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1915,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1916,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1917,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1918,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1919,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1920,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1921,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1922,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1923,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1924,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1925,24.28,25.00,19.15,26.35,24.35,23.53,24.32,22.81
1926,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1927,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1928,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1929,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1930,24.28,25.00,19.15,26.35,24.35,23.54,24.32,22.81
1931,24.35,25.10,19.19,26.46,24.42,23.57,24.37,22.85
1932,24.33,25.07,19.17,26.42,24.40,23.56,24.35,22.84
1933,24.26,24.97,19.14,26.31,24.32,23.52,24.31,22.79
1934,24.28,25.00,19.15,26.34,24.35,23.53,24.32,22.80
1935,24.23,24.92,19.11,26.26,24.28,23.50,24.29,22.76
1936,24.46,25.25,19.27,26.66,24.54,23.66,24.43,22.95
1937,24.35,25.09,19.21,26.47,24.42,23.58,24.37,22.86
1938,24.07,24.70,19.00,25.98,24.12,23.39,24.19,22.63
1939,24.22,24.90,19.11,26.24,24.27,23.49,24.28,22.75
1940,24.20,24.89,19.09,26.20,24.26,23.48,24.27,22.73
1941,24.32,24.93,19.24,26.21,24.37,23.67,24.48,22.87
1942,24.20,24.84,19.14,26.10,24.27,23.54,24.31,22.76
1943,23.95,24.48,19.00,25.65,24.01,23.40,24.15,22.60
1944,24.08,24.67,19.07,25.90,24.14,23.46,24.24,22.68
1945,24.21,24.87,19.12,26.16,24.28,23.52,24.30,22.76
1946,24.25,24.92,19.16,26.20,24.32,23.55,24.34,22.79
1947,24.26,24.96,19.14,26.27,24.34,23.54,24.31,22.78
1948,24.17,24.81,19.12,26.08,24.24,23.51,24.27,22.74
1949,24.07,24.72,19.02,25.98,24.14,23.41,24.18,22.66
1950,23.94,24.54,18.94,25.76,24.00,23.31,24.08,22.56
1951,24.33,25.02,19.23,26.31,24.42,23.63,24.39,22.87
1952,24.41,25.11,19.32,26.40,24.50,23.71,24.45,22.95
1953,24.43,25.16,19.32,26.48,24.53,23.71,24.46,22.95
1954,24.04,24.70,18.96,25.98,24.12,23.37,24.14,22.59
1955,24.08,24.76,18.99,26.06,24.16,23.40,24.16,22.63
1956,24.41,25.09,19.29,26.40,24.46,23.71,24.51,22.91
1957,24.84,25.54,19.71,26.85,24.90,24.12,24.93,23.34
1958,25.07,25.77,19.96,27.10,25.13,24.34,25.13,23.60
1959,24.65,25.40,19.47,26.76,24.73,23.86,24.68,23.13
1960,24.48,25.24,19.28,26.61,24.55,23.68,24.53,22.96
1961,24.27,24.97,19.13,26.30,24.33,23.53,24.32,22.82
1962,24.02,24.72,18.91,26.06,24.08,23.28,24.07,22.58
1963,24.33,25.01,19.22,26.33,24.39,23.62,24.41,22.86
1964,24.30,25.02,19.18,26.36,24.38,23.56,24.33,22.85
1965,24.45,25.16,19.34,26.50,24.52,23.71,24.50,23.01
1966,24.48,25.18,19.36,26.51,24.54,23.75,24.55,23.02
1967,24.06,24.77,18.93,26.11,24.13,23.32,24.12,22.57
1968,23.85,24.56,18.71,25.90,23.91,23.11,23.91,22.35
1969,24.22,24.92,19.09,26.28,24.27,23.49,24.29,22.73
1970,23.86,24.56,18.72,25.91,23.91,23.12,23.93,22.37
1971,23.70,24.45,18.52,25.82,23.78,22.91,23.73,22.22
1972,24.25,24.96,19.09,26.35,24.30,23.48,24.29,22.75
1973,24.26,24.98,19.12,26.34,24.32,23.50,24.29,22.79
1974,23.78,24.51,18.62,25.87,23.84,23.00,23.82,22.31
1975,23.70,24.44,18.58,25.81,23.77,22.92,23.69,22.27
1976,23.94,24.64,18.82,26.00,23.99,23.19,23.99,22.50
1977,24.25,24.93,19.16,26.30,24.27,23.51,24.31,22.85
1978,24.40,25.11,19.27,26.45,24.47,23.66,24.44,22.93
1979,24.47,25.18,19.35,26.52,24.54,23.74,24.50,22.99
1980,24.57,25.31,19.45,26.66,24.66,23.83,24.59,23.08
1981,24.37,25.10,19.24,26.46,24.44,23.61,24.39,22.88
1982,24.55,25.28,19.41,26.63,24.63,23.80,24.58,23.06
1983,24.98,25.71,19.84,27.06,25.06,24.23,25.01,23.49
1984,24.12,24.86,18.98,26.21,24.21,23.38,24.14,22.62
1985,24.33,25.09,19.18,26.45,24.42,23.57,24.34,22.84
1986,24.40,25.14,19.25,26.49,24.47,23.64,24.43,22.90
1987,25.05,25.80,19.88,27.15,25.13,24.28,25.07,23.53
1988,24.78,25.54,19.63,26.90,24.87,24.00,24.78,23.27
