Variable:,tas
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1901,4.69,4.79,4.68,4.67,4.67,4.67,4.67,4.77,4.67,4.67,4.67,4.67
1902,4.97,5.07,4.96,4.95,4.95,4.95,4.95,5.05,4.95,4.95,4.95,4.95
1903,5.21,5.30,5.20,5.19,5.19,5.19,5.19,5.28,5.19,5.19,5.19,5.19
1904,5.75,5.85,5.74,5.73,5.73,5.73,5.73,5.83,5.73,5.73,5.73,5.73
1905,5.01,5.11,5.00,4.99,4.99,4.99,4.99,5.08,4.99,4.99,4.99,4.99
1906,5.10,5.20,5.09,5.08,5.08,5.08,5.08,5.18,5.08,5.08,5.08,5.08
1907,5.05,5.15,5.04,5.03,5.03,5.03,5.03,5.13,5.03,5.03,5.03,5.03
1908,4.74,4.84,4.73,4.72,4.72,4.72,4.72,4.82,4.72,4.72,4.72,4.72
1909,4.45,4.56,4.44,4.43,4.43,4.43,4.43,4.53,4.43,4.43,4.43,4.43
1910,5.13,5.23,5.12,5.11,5.11,5.11,5.11,5.21,5.11,5.11,5.11,5.11
1911,5.97,6.07,5.96,5.95,5.95,5.95,5.95,6.04,5.95,5.95,5.95,5.95
1912,5.01,5.11,5.00,4.99,4.99,4.99,4.99,5.09,4.99,4.99,4.99,4.99
1913,5.42,5.51,5.41,5.40,5.40,5.40,5.40,5.49,5.40,5.40,5.40,5.40
1914,5.15,5.25,5.14,5.13,5.13,5.13,5.13,5.22,5.13,5.13,5.13,5.13
1915,5.06,5.16,5.05,5.04,5.04,5.04,5.04,5.13,5.04,5.04,5.04,5.04
1916,5.47,5.57,5.46,5.45,5.45,5.45,5.45,5.54,5.45,5.45,5.45,5.45
1917,4.55,4.65,4.54,4.53,4.53,4.53,4.53,4.62,4.53,4.53,4.53,4.53
1918,5.48,5.57,5.46,5.46,5.46,5.46,5.46,5.55,5.46,5.46,5.46,5.46
1919,4.69,4.79,4.68,4.67,4.67,4.67,4.67,4.77,4.67,4.67,4.67,4.67
1920,6.00,6.10,5.99,5.98,5.98,5.98,5.98,6.08,5.98,5.98,5.98,5.98
1921,6.22,6.32,6.21,6.20,6.20,6.20,6.20,6.30,6.20,6.20,6.20,6.20
1922,4.70,4.80,4.69,4.68,4.68,4.68,4.68,4.78,4.68,4.68,4.68,4.68
1923,5.62,5.72,5.61,5.60,5.60,5.60,5.60,5.70,5.60,5.60,5.60,5.60
1924,4.96,5.06,4.95,4.94,4.94,4.94,4.94,5.04,4.94,4.94,4.94,4.94
1925,5.15,5.25,5.14,5.13,5.13,5.13,5.13,5.22,5.13,5.13,5.13,5.13
1926,5.89,5.99,5.88,5.87,5.87,5.87,5.87,5.96,5.87,5.87,5.87,5.87
1927,5.64,5.74,5.63,5.62,5.62,5.62,5.62,5.72,5.62,5.62,5.62,5.62
1928,6.00,6.10,5.99,5.98,5.98,5.98,5.98,6.08,5.98,5.98,5.98,5.98
1929,5.20,5.30,5.19,5.18,5.18,5.18,5.18,5.28,5.18,5.18,5.18,5.18
1930,5.94,6.04,5.93,5.92,5.92,5.92,5.92,6.01,5.92,5.92,5.92,5.92
1931,4.63,4.74,4.62,4.61,4.61,4.61,4.61,4.71,4.61,4.61,4.61,4.61
1932,5.30,5.40,5.29,5.28,5.28,5.28,5.28,5.37,5.28,5.28,5.28,5.28
1933,4.73,4.83,4.72,4.71,4.71,4.71,4.71,4.81,4.71,4.71,4.71,4.71
1934,6.20,6.29,6.19,6.18,6.18,6.18,6.18,6.27,6.18,6.18,6.18,6.18
1935,5.32,5.42,5.31,5.30,5.30,5.30,5.30,5.40,5.30,5.30,5.30,5.30
1936,5.53,5.63,5.52,5.51,5.51,5.51,5.51,5.61,5.51,5.51,5.51,5.51
1937,5.80,5.90,5.79,5.78,5.78,5.78,5.78,5.87,5.78,5.78,5.78,5.78
1938,5.45,5.55,5.44,5.43,5.43,5.43,5.43,5.53,5.43,5.43,5.43,5.43
1939,5.23,5.33,5.22,5.21,5.21,5.21,5.21,5.30,5.21,5.21,5.21,5.21
1940,4.33,4.43,4.32,4.31,4.31,4.31,4.31,4.41,4.31,4.31,4.31,4.31
1941,4.65,4.75,4.64,4.63,4.63,4.63,4.63,4.73,4.63,4.63,4.63,4.63
1942,5.25,5.35,5.24,5.23,5.23,5.23,5.23,5.33,5.23,5.23,5.23,5.23
1943,6.41,6.51,6.40,6.39,6.39,6.39,6.39,6.49,6.39,6.39,6.39,6.39
1944,5.13,5.23,5.12,5.11,5.11,5.11,5.11,5.21,5.11,5.11,5.11,5.11
1945,6.10,6.20,6.09,6.08,6.08,6.08,6.08,6.18,6.08,6.08,6.08,6.08
1946,5.85,5.95,5.84,5.83,5.83,5.83,5.83,5.92,5.83,5.83,5.83,5.83
