Variable:,tas
,Niue,"Administrative unit not available"
1901,24.14,24.14
1902,24.12,24.13
1903,23.96,23.97
1904,23.77,23.78
1905,23.82,23.82
1906,24.16,24.16
1907,23.84,23.85
1908,23.89,23.90
1909,23.71,23.71
1910,23.78,23.78
1911,24.16,24.16
1912,24.41,24.42
1913,24.27,24.28
1914,24.43,24.43
1915,24.06,24.06
1916,23.90,23.91
1917,23.81,23.81
1918,23.90,23.90
1919,24.43,24.44
1920,24.41,24.41
1921,24.57,24.58
1922,24.79,24.80
1923,24.08,24.09
1924,24.66,24.67
1925,24.28,24.28
1926,24.40,24.40
1927,24.60,24.61
1928,24.32,24.32
1929,24.07,24.07
1930,24.07,24.07
1931,24.13,24.13
1932,24.40,24.41
1933,24.33,24.33
1934,24.28,24.29
1935,24.61,24.61
1936,24.39,24.39
1937,24.33,24.34
1938,24.74,24.74
1939,24.22,24.22
1940,24.34,24.34
1941,24.54,24.55
1942,24.46,24.46
1943,24.45,24.46
1944,24.13,24.14
1945,24.31,24.31
1946,24.31,24.31
1947,24.44,24.44
1948,24.07,24.07
1949,24.39,24.40
1950,24.47,24.47
1951,24.25,24.26
1952,24.72,24.72
1953,24.45,24.46
1954,24.63,24.64
1955,24.53,24.54
1956,24.30,24.30
1957,24.37,24.37
1958,24.37,24.37
1959,24.60,24.61
1960,24.42,24.42
1961,24.42,24.42
1962,24.21,24.21
1963,24.20,24.20
1964,24.32,24.33
1965,23.92,23.93
1966,24.31,24.32
1967,24.16,24.17
1968,24.28,24.28
1969,24.29,24.29
1970,24.45,24.45
1971,24.10,24.10
1972,24.33,24.34
1973,24.60,24.61
1974,24.17,24.17
1975,24.30,24.31
1976,24.20,24.20
1977,24.47,24.47
1978,24.35,24.36
1979,24.49,24.50
1980,24.56,24.56
1981,24.41,24.41
1982,24.36,24.37
1983,24.63,24.63
1984,24.59,24.60
1985,24.59,24.60
1986,24.51,24.52
1987,24.25,24.26
1988,24.86,24.87
1989,24.50,24.50
1990,24.81,24.82
1991,24.68,24.68
1992,24.68,24.68
1993,24.52,24.52
1994,24.63,24.63
1995,24.96,24.96
1996,25.20,25.21
1997,24.94,24.95
1998,25.01,25.02
1999,24.93,24.94
2000,25.13,25.14
2001,25.42,25.43
2002,25.43,25.44
2003,25.16,25.17
2004,25.01,25.02
2005,25.34,25.35
2006,25.09,25.10
2007,25.38,25.39
2008,25.08,25.09
2009,25.07,25.07
2010,24.83,24.84
2011,24.84,24.85
2012,24.88,24.88
2013,25.16,25.16
2014,24.94,24.94
2015,24.84,24.85
2016,25.31,25.32
2017,25.19,25.20
2018,25.05,25.06
2019,25.19,25.20
2020,25.21,25.22
