Variable:,tas
,Aruba,"Administrative unit not available"
1901,27.60,27.60
1902,27.17,27.17
1903,27.27,27.27
1904,27.00,27.00
1905,27.05,27.05
1906,26.96,26.96
1907,26.93,26.93
1908,26.84,26.84
1909,26.89,26.89
1910,26.89,26.89
1911,26.97,26.97
1912,27.03,27.03
1913,26.90,26.90
1914,26.93,26.93
1915,27.73,27.73
1916,27.48,27.48
1917,27.20,27.20
1918,27.19,27.19
1919,27.00,27.00
1920,26.88,26.88
1921,27.03,27.03
1922,26.90,26.90
1923,27.31,27.31
1924,27.47,27.47
1925,27.18,27.18
1926,27.73,27.73
1927,27.22,27.22
1928,27.38,27.38
1929,27.20,27.20
1930,27.36,27.36
1931,27.68,27.68
1932,27.89,27.89
1933,27.74,27.74
1934,27.87,27.87
1935,27.57,27.57
1936,27.79,27.79
1937,27.72,27.72
1938,27.53,27.53
1939,27.72,27.72
1940,28.31,28.31
1941,28.46,28.46
1942,28.18,28.18
1943,27.78,27.78
1944,27.83,27.83
1945,27.40,27.40
1946,27.56,27.56
1947,28.05,28.05
1948,27.69,27.69
1949,27.36,27.36
1950,26.94,26.94
1951,27.86,27.86
1952,28.09,28.09
1953,27.98,27.98
1954,27.60,27.60
1955,27.31,27.31
1956,27.41,27.41
1957,27.76,27.76
1958,28.64,28.64
1959,27.98,27.98
1960,28.02,28.02
1961,27.83,27.83
1962,27.92,27.92
1963,27.97,27.97
1964,27.75,27.75
1965,27.74,27.74
1966,27.93,27.93
1967,27.54,27.54
1968,27.75,27.75
1969,28.33,28.33
1970,27.90,27.90
1971,27.39,27.39
1972,27.88,27.88
1973,27.98,27.98
1974,27.32,27.32
1975,27.32,27.32
1976,27.24,27.24
1977,28.01,28.01
1978,28.00,28.00
1979,28.12,28.12
1980,28.23,28.23
1981,27.99,27.99
1982,27.87,27.87
1983,28.53,28.53
1984,27.89,27.89
1985,27.48,27.48
1986,27.61,27.61
1987,28.50,28.50
1988,27.78,27.78
1989,27.81,27.81
1990,27.97,27.97
1991,28.10,28.10
1992,28.33,28.33
1993,28.31,28.31
1994,28.28,28.28
1995,28.41,28.41
1996,28.33,28.33
1997,28.59,28.59
1998,28.98,28.98
1999,27.92,27.92
2000,27.92,27.92
2001,28.74,28.74
2002,28.73,28.73
2003,28.91,28.91
2004,28.37,28.37
2005,28.55,28.55
2006,28.44,28.44
2007,28.51,28.51
2008,28.28,28.28
2009,28.81,28.81
2010,29.04,29.04
2011,28.31,28.31
2012,28.52,28.52
2013,28.64,28.64
2014,28.67,28.67
2015,29.04,29.04
2016,29.17,29.17
2017,28.68,28.68
2018,28.38,28.38
2019,28.75,28.75
2020,28.76,28.76
