Variable:,tas
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1901,11.08,12.13,9.47,11.26,13.60,12.13,12.21,9.19,10.77,11.62,9.73
1902,10.91,11.96,9.31,11.11,13.42,11.95,12.04,9.02,10.60,11.46,9.56
1903,10.89,11.95,9.35,11.13,13.37,11.93,11.98,9.05,10.58,11.38,9.55
1904,11.01,12.06,9.40,11.20,13.52,12.05,12.15,9.12,10.73,11.58,9.67
1905,10.98,12.04,9.42,11.20,13.49,12.02,12.10,9.11,10.67,11.51,9.63
1906,10.77,11.82,9.16,10.96,13.28,11.83,11.92,8.88,10.47,11.34,9.42
1907,10.62,11.66,8.98,10.78,13.15,11.67,11.78,8.70,10.32,11.19,9.27
1908,10.80,11.87,9.23,11.02,13.32,11.85,11.92,8.93,10.48,11.33,9.44
1909,10.89,11.94,9.26,11.07,13.42,11.94,12.04,8.97,10.57,11.46,9.53
1910,10.61,11.65,8.95,10.77,13.17,11.67,11.78,8.67,10.31,11.19,9.25
1911,10.96,11.98,9.30,11.11,13.51,12.00,12.13,9.06,10.69,11.55,9.61
1912,11.29,12.34,9.68,11.48,13.80,12.33,12.41,9.41,10.99,11.81,9.94
1913,11.46,12.50,9.87,11.66,13.96,12.49,12.57,9.60,11.16,11.99,10.11
1914,11.55,12.60,9.96,11.76,14.05,12.59,12.67,9.69,11.26,12.08,10.22
1915,11.29,12.33,9.65,11.47,13.82,12.34,12.44,9.38,10.99,11.85,9.94
1916,11.24,12.28,9.63,11.43,13.77,12.28,12.38,9.36,10.94,11.79,9.89
1917,10.71,11.77,9.09,10.89,13.24,11.76,11.86,8.80,10.40,11.27,9.34
1918,11.09,12.13,9.44,11.26,13.64,12.15,12.26,9.18,10.80,11.68,9.74
1919,11.42,12.45,9.78,11.58,13.94,12.46,12.56,9.52,11.13,11.98,10.07
1920,11.40,12.44,9.76,11.57,13.91,12.44,12.54,9.51,11.11,11.96,10.06
1921,10.89,11.94,9.27,11.07,13.41,11.94,12.04,8.99,10.59,11.46,9.54
1922,11.48,12.53,9.90,11.69,13.98,12.52,12.60,9.61,11.17,12.00,10.14
1923,11.59,12.64,9.98,11.78,14.09,12.63,12.71,9.72,11.30,12.13,10.25
1924,10.85,11.89,9.21,11.02,13.38,11.90,12.01,8.93,10.55,11.44,9.49
1925,11.32,12.35,9.68,11.49,13.85,12.36,12.48,9.42,11.04,11.90,9.98
1926,11.42,12.48,9.81,11.61,13.93,12.46,12.55,9.53,11.13,11.96,10.07
1927,11.76,12.80,10.11,11.93,14.30,12.81,12.91,9.85,11.47,12.34,10.41
1928,11.34,12.39,9.73,11.54,13.89,12.40,12.48,9.45,11.03,11.89,9.99
1929,11.46,12.50,9.82,11.63,14.00,12.52,12.61,9.55,11.17,12.03,10.12
1930,11.27,12.32,9.62,11.43,13.82,12.33,12.44,9.35,10.99,11.87,9.92
1931,11.74,12.80,10.13,11.94,14.27,12.79,12.86,9.87,11.45,12.27,10.40
1932,12.05,13.09,10.42,12.23,14.58,13.10,13.19,10.16,11.76,12.60,10.71
1933,11.91,12.98,10.29,12.11,14.42,12.96,13.03,10.02,11.62,12.44,10.57
1934,12.03,13.05,10.40,12.19,14.54,13.06,13.17,10.13,11.75,12.60,10.69
1935,11.09,12.13,9.47,11.26,13.63,12.15,12.25,9.17,10.78,11.65,9.73
1936,11.48,12.52,9.86,11.66,14.01,12.53,12.62,9.58,11.19,12.03,10.13
1937,11.84,12.88,10.18,12.00,14.37,12.89,13.00,9.94,11.57,12.43,10.50
1938,11.85,12.89,10.25,12.04,14.34,12.88,12.96,9.98,11.57,12.38,10.51
1939,11.50,12.51,9.82,11.63,14.06,12.56,12.68,9.57,11.22,12.11,10.14
1940,12.05,13.10,10.42,12.24,14.52,13.08,13.16,10.18,11.79,12.57,10.75
1941,12.29,13.33,10.77,12.52,14.70,13.30,13.34,10.49,12.01,12.75,10.97
1942,11.89,12.91,10.30,12.08,14.36,12.91,13.00,10.03,11.61,12.42,10.56
1943,11.14,12.17,9.53,11.32,13.62,12.17,12.26,9.28,10.87,11.69,9.81
1944,11.93,12.95,10.36,12.13,14.40,12.95,13.03,10.08,11.65,12.46,10.59
1945,12.02,13.03,10.42,12.20,14.56,13.05,13.18,10.14,11.71,12.61,10.65
1946,12.17,13.22,10.62,12.39,14.62,13.19,13.27,10.34,11.88,12.68,10.84
1947,12.04,13.08,10.48,12.25,14.51,13.06,13.13,10.20,11.74,12.55,10.70
1948,11.78,12.80,10.19,11.97,14.25,12.80,12.89,9.94,11.50,12.30,10.44
1949,12.10,13.14,10.47,12.28,14.61,13.14,13.23,10.21,11.83,12.66,10.76
1950,11.99,13.02,10.38,12.17,14.48,13.02,13.11,10.13,11.73,12.53,10.66
1951,11.52,12.57,9.93,11.73,14.01,12.55,12.61,9.67,11.24,12.02,10.19
1952,12.10,13.15,10.52,12.32,14.57,13.12,13.20,10.27,11.82,12.61,10.78
1953,11.63,12.59,9.93,11.73,14.21,12.68,12.84,9.69,11.37,12.28,10.27
1954,11.54,12.57,9.90,11.71,14.07,12.59,12.66,9.66,11.28,12.07,10.21
1955,10.96,11.97,9.33,11.12,13.44,11.98,12.09,9.08,10.70,11.52,9.63
1956,11.64,12.67,10.03,11.83,14.13,12.68,12.73,9.78,11.37,12.13,10.32
1957,12.00,13.04,10.42,12.21,14.48,13.03,13.09,10.16,11.74,12.50,10.68
1958,12.14,13.19,10.57,12.36,14.62,13.16,13.21,10.31,11.85,12.61,10.81
1959,11.80,12.82,10.19,11.97,14.31,12.83,12.91,9.94,11.55,12.33,10.48
1960,11.92,12.87,10.19,11.98,14.48,12.95,13.12,10.02,11.69,12.56,10.61
1961,12.16,13.14,10.53,12.32,14.62,13.15,13.28,10.31,11.92,12.72,10.86
1962,12.20,13.18,10.51,12.31,14.75,13.22,13.39,10.29,11.94,12.83,10.86
1963,11.74,12.73,10.05,11.86,14.28,12.76,12.92,9.86,11.50,12.37,10.41
1964,11.70,12.74,10.04,11.86,14.21,12.74,12.85,9.81,11.42,12.26,10.37
1965,11.89,12.94,10.24,12.07,14.48,12.96,13.06,9.94,11.59,12.45,10.52
1966,12.23,13.25,10.55,12.34,14.88,13.30,13.44,10.29,11.94,12.81,10.86
1967,11.70,12.65,9.97,11.73,14.24,12.72,12.89,9.81,11.50,12.34,10.40
1968,11.48,12.52,9.89,11.67,14.00,12.51,12.61,9.60,11.19,12.03,10.12
1969,12.29,13.34,10.64,12.45,14.88,13.35,13.46,10.35,12.00,12.86,10.92
1970,12.23,13.29,10.60,12.40,14.82,13.30,13.40,10.31,11.94,12.77,10.87
1971,11.85,12.88,10.23,12.03,14.37,12.88,12.99,9.98,11.57,12.39,10.52
1972,12.02,13.03,10.36,12.16,14.56,13.05,13.18,10.11,11.77,12.60,10.69
1973,11.94,12.97,10.34,12.13,14.47,12.98,13.09,10.05,11.66,12.50,10.59
1974,11.74,12.74,10.07,11.86,14.24,12.76,12.88,9.89,11.50,12.32,10.43
1975,11.59,12.64,9.93,11.73,14.09,12.65,12.71,9.71,11.33,12.15,10.26
1976,11.45,12.43,9.74,11.56,13.93,12.48,12.60,9.59,11.24,12.05,10.16
1977,12.26,13.27,10.62,12.42,14.69,13.27,13.38,10.41,12.03,12.83,10.97
1978,11.87,12.88,10.30,12.09,14.30,12.88,12.96,10.03,11.62,12.41,10.56
1979,12.29,13.35,10.72,12.53,14.72,13.32,13.37,10.43,12.01,12.79,10.97
