Variable:,tas
,"Sao Tome and Principe",Principe,"Sao Tome"
1901,22.50,22.88,22.68
1902,22.73,23.13,22.91
1903,22.87,23.27,23.05
1904,22.57,22.97,22.75
1905,23.00,23.40,23.17
1906,22.94,23.34,23.11
1907,22.98,23.39,23.16
1908,22.55,22.95,22.73
1909,23.13,23.55,23.30
1910,22.48,22.88,22.66
1911,22.94,23.33,23.12
1912,23.02,23.41,23.20
1913,22.56,22.96,22.74
1914,23.03,23.43,23.20
1915,22.83,23.23,23.01
1916,22.83,23.23,23.01
1917,22.83,23.23,23.01
1918,22.83,23.23,23.01
1919,22.83,23.23,23.01
1920,22.83,23.23,23.01
1921,22.83,23.23,23.01
1922,22.83,23.23,23.01
1923,22.83,23.23,23.01
1924,22.83,23.23,23.01
1925,22.83,23.23,23.01
1926,22.83,23.23,23.01
1927,22.83,23.23,23.01
1928,22.83,23.23,23.01
1929,22.83,23.23,23.01
1930,22.83,23.23,23.01
1931,22.83,23.23,23.01
1932,22.83,23.23,23.01
1933,22.83,23.23,23.01
1934,22.83,23.23,23.01
1935,22.83,23.23,23.01
1936,22.83,23.23,23.01
1937,22.83,23.23,23.01
1938,22.83,23.23,23.01
1939,22.83,23.23,23.01
1940,22.83,23.23,23.01
1941,23.35,23.76,23.53
1942,23.23,23.63,23.41
1943,22.64,23.05,22.82
1944,23.33,23.71,23.51
1945,23.44,23.85,23.62
1946,23.06,23.44,23.24
1947,23.43,23.80,23.61
1948,23.02,23.40,23.20
1949,23.43,23.81,23.61
1950,23.30,23.72,23.48
1951,23.20,23.57,23.38
1952,23.08,23.43,23.25
1953,22.97,23.34,23.15
1954,22.58,22.93,22.75
1955,22.78,23.13,22.96
1956,22.63,22.97,22.81
1957,22.99,23.34,23.16
1958,22.85,23.25,23.03
1959,22.95,23.36,23.13
1960,23.05,23.43,23.22
1961,22.83,23.23,23.00
1962,22.87,23.27,23.05
1963,23.26,23.67,23.44
1964,22.88,23.28,23.05
1965,22.85,23.22,23.03
1966,23.20,23.58,23.38
1967,22.93,23.33,23.11
1968,22.88,23.28,23.06
1969,23.06,23.45,23.24
1970,23.01,23.43,23.19
1971,22.63,23.02,22.81
1972,22.57,22.99,22.75
1973,23.00,23.42,23.18
1974,22.52,22.93,22.70
1975,22.50,22.91,22.68
1976,22.28,22.70,22.46
1977,22.78,23.21,22.96
1978,22.73,23.15,22.91
1979,22.93,23.33,23.11
1980,22.96,23.34,23.13
1981,22.75,23.18,22.93
1982,22.58,22.96,22.76
1983,22.89,23.31,23.07
1984,23.05,23.41,23.23
1985,22.68,23.08,22.86
1986,22.61,22.98,22.79
1987,23.23,23.62,23.41
1988,23.00,23.36,23.17
1989,22.98,23.33,23.15
1990,22.89,23.28,23.07
1991,22.92,23.23,23.10
1992,22.71,23.08,22.89
1993,22.91,23.28,23.09
1994,22.85,23.23,23.03
1995,23.13,23.46,23.30
1996,22.93,23.31,23.11
1997,22.79,23.19,22.97
1998,23.47,23.83,23.64
1999,23.10,23.43,23.27
2000,23.15,23.53,23.33
2001,23.17,23.53,23.34
2002,23.38,23.68,23.55
2003,23.41,23.79,23.59
2004,23.18,23.58,23.35
2005,23.25,23.62,23.43
2006,23.30,23.69,23.48
2007,23.30,23.68,23.48
2008,23.15,23.54,23.33
2009,23.23,23.66,23.41
2010,23.43,23.87,23.61
2011,23.11,23.50,23.29
2012,23.18,23.57,23.35
2013,23.22,23.63,23.40
2014,23.30,23.71,23.48
2015,23.37,23.80,23.54
2016,23.46,23.93,23.63
2017,23.38,23.83,23.55
2018,23.53,23.91,23.70
2019,23.36,23.78,23.53
2020,23.42,23.87,23.60
