Variable:,tas
,Gibraltar,"Administrative unit not available"
1901,16.89,16.89
1902,16.96,16.96
1903,17.03,17.03
1904,17.39,17.39
1905,16.79,16.79
1906,16.96,16.96
1907,16.76,16.76
1908,17.08,17.08
1909,16.73,16.73
1910,16.78,16.78
1911,16.77,16.77
1912,16.78,16.78
1913,16.93,16.93
1914,16.72,16.72
1915,16.84,16.84
1916,16.84,16.84
1917,16.36,16.36
1918,16.68,16.68
1919,16.61,16.61
1920,16.94,16.94
1921,17.11,17.11
1922,16.88,16.88
1923,17.00,17.00
1924,17.45,17.45
1925,16.58,16.58
1926,17.83,17.83
1927,17.27,17.27
1928,17.13,17.13
1929,17.24,17.24
1930,17.26,17.26
1931,16.96,16.96
1932,16.55,16.55
1933,17.00,17.00
1934,16.81,16.81
1935,16.88,16.88
1936,16.81,16.81
1937,17.69,17.69
1938,17.30,17.30
1939,16.90,16.90
1940,17.38,17.38
1941,17.23,17.23
1942,17.55,17.55
1943,17.58,17.58
1944,17.35,17.35
1945,18.26,18.26
1946,17.42,17.42
1947,17.68,17.68
1948,18.17,18.17
1949,18.05,18.05
1950,17.75,17.75
1951,17.27,17.27
1952,17.52,17.52
1953,17.85,17.85
1954,17.31,17.31
1955,18.63,18.63
1956,16.70,16.70
1957,17.34,17.34
1958,17.75,17.75
1959,17.63,17.63
1960,17.66,17.66
1961,18.32,18.32
1962,17.75,17.75
1963,17.38,17.38
1964,17.79,17.79
1965,17.31,17.31
1966,17.47,17.47
1967,17.26,17.26
1968,17.54,17.54
1969,17.13,17.13
1970,17.60,17.60
1971,16.81,16.81
1972,16.69,16.69
1973,17.28,17.28
1974,17.38,17.38
1975,17.19,17.19
1976,17.08,17.08
1977,17.27,17.27
1978,17.52,17.52
1979,17.51,17.51
1980,17.66,17.66
1981,17.93,17.93
1982,17.63,17.63
1983,17.99,17.99
1984,17.38,17.38
1985,18.07,18.07
1986,17.50,17.50
1987,17.98,17.98
1988,17.91,17.91
1989,18.43,18.43
1990,18.20,18.20
1991,17.50,17.50
1992,17.58,17.58
1993,17.07,17.07
1994,17.98,17.98
1995,18.51,18.51
1996,17.83,17.83
1997,18.52,18.52
1998,18.09,18.09
1999,17.86,17.86
2000,18.07,18.07
2001,18.35,18.35
2002,18.09,18.09
2003,18.43,18.43
2004,18.17,18.17
2005,17.90,17.90
2006,18.44,18.44
2007,18.02,18.02
2008,18.07,18.07
2009,18.53,18.53
2010,18.42,18.42
2011,18.60,18.60
2012,18.09,18.09
2013,17.97,17.97
2014,18.53,18.53
2015,18.85,18.85
2016,18.94,18.94
2017,19.05,19.05
2018,18.19,18.19
2019,18.61,18.61
2020,18.79,18.79
