Variable:,tas
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1901,24.37,15.93,25.87,24.89,18.39,27.18,21.30,22.35,20.55
1902,24.55,16.15,26.18,25.06,18.64,27.33,21.51,22.51,20.70
1903,24.50,16.03,25.99,25.04,18.48,27.34,21.35,22.47,20.61
1904,23.87,15.44,25.44,24.37,17.93,26.69,20.76,21.84,19.97
1905,24.03,15.64,25.68,24.52,18.13,26.83,20.92,21.98,20.10
1906,23.75,15.22,25.25,24.28,17.69,26.64,20.47,21.71,19.71
1907,23.81,15.30,25.40,24.33,17.79,26.69,20.55,21.74,19.77
1908,24.46,15.98,26.01,24.98,18.43,27.30,21.26,22.40,20.52
1909,23.22,14.65,24.89,23.73,17.15,26.16,19.76,21.08,18.95
1910,23.32,14.57,24.70,23.91,16.99,26.36,19.69,21.23,18.99
1911,23.54,14.98,25.01,24.09,17.45,26.38,20.22,21.54,19.48
1912,23.14,14.72,25.01,23.61,17.31,26.00,19.89,20.98,18.99
1913,22.84,14.24,24.45,23.35,16.71,25.87,19.48,20.69,18.72
1914,23.26,14.73,24.86,23.76,17.20,26.21,19.99,21.16,19.22
1915,23.37,14.74,25.02,23.90,17.20,26.48,19.87,21.12,19.11
1916,22.91,14.22,24.55,23.45,16.66,26.11,19.34,20.62,18.59
1917,22.54,13.72,24.20,23.10,16.14,25.94,18.74,20.12,18.00
1918,22.77,14.09,24.40,23.30,16.54,25.96,19.23,20.51,18.48
1919,22.81,14.24,24.38,23.29,16.73,25.77,19.54,20.72,18.78
1920,22.77,14.20,24.35,23.25,16.69,25.73,19.51,20.68,18.75
1921,24.39,15.92,26.07,24.91,18.40,27.31,21.14,22.25,20.35
1922,24.47,15.91,26.18,25.01,18.35,27.56,21.01,22.19,20.23
1923,24.08,15.64,25.72,24.58,18.12,26.93,20.90,22.00,20.11
1924,24.97,16.28,26.69,25.49,18.71,28.39,21.33,22.51,20.54
