Variable:,tas
,Tokelau,"Administrative unit not available"
1901,27.76,27.92
1902,27.77,27.94
1903,27.54,27.72
1904,27.32,27.53
1905,27.41,27.58
1906,27.78,27.95
1907,27.40,27.60
1908,27.43,27.61
1909,27.22,27.41
1910,27.31,27.49
1911,27.79,27.95
1912,28.12,28.25
1913,27.97,28.12
1914,28.19,28.31
1915,27.68,27.83
1916,27.44,27.64
1917,27.34,27.53
1918,27.51,27.68
1919,28.16,28.30
1920,28.12,28.25
1921,27.87,27.99
1922,27.98,28.10
1923,27.71,27.86
1924,28.00,28.11
1925,27.84,27.98
1926,28.16,28.28
1927,28.18,28.31
1928,28.07,28.18
1929,28.01,28.15
1930,28.06,28.21
1931,27.81,27.97
1932,27.97,28.11
1933,27.73,27.97
1934,27.80,28.04
1935,27.97,28.15
1936,27.93,28.15
1937,28.03,28.28
1938,27.90,28.10
1939,27.72,27.91
1940,28.18,28.35
1941,28.36,28.53
1942,28.08,28.25
1943,27.96,28.14
1944,27.94,28.09
1945,27.97,28.12
1946,28.06,28.21
1947,28.29,28.41
1948,28.03,28.17
1949,28.10,28.25
1950,28.03,28.18
1951,28.18,28.30
1952,28.31,28.43
1953,28.21,28.34
1954,28.08,28.20
1955,27.88,28.00
1956,27.87,28.02
1957,28.16,28.29
1958,28.38,28.52
1959,28.39,28.52
1960,28.20,28.34
1961,28.05,28.17
1962,28.10,28.26
1963,28.16,28.30
1964,27.96,28.09
1965,27.82,27.97
1966,28.08,28.22
1967,27.79,27.97
1968,28.05,28.17
1969,28.18,28.34
1970,28.07,28.21
1971,27.66,27.82
1972,28.00,28.14
1973,28.09,28.23
1974,27.68,27.83
1975,27.92,28.05
1976,27.86,28.05
1977,28.09,28.21
1978,28.08,28.23
1979,28.31,28.44
1980,28.32,28.43
1981,28.13,28.29
1982,28.33,28.46
1983,28.24,28.36
1984,28.15,28.29
1985,28.26,28.40
1986,28.23,28.38
1987,28.13,28.28
1988,28.23,28.36
1989,28.00,28.13
1990,28.49,28.60
1991,28.49,28.59
1992,28.45,28.54
1993,28.31,28.42
1994,28.39,28.51
1995,28.65,28.72
1996,28.72,28.75
1997,28.66,28.70
1998,28.71,28.75
1999,28.58,28.63
2000,28.75,28.80
2001,29.17,29.12
2002,29.18,29.17
2003,28.78,28.80
2004,28.71,28.77
2005,28.90,28.95
2006,28.66,28.74
2007,28.95,28.98
2008,28.74,28.78
2009,28.71,28.79
2010,28.73,28.86
2011,28.45,28.53
2012,28.52,28.61
2013,28.72,28.78
2014,28.58,28.67
2015,28.52,28.61
2016,28.91,28.97
2017,28.78,28.84
2018,28.68,28.73
2019,28.85,28.90
2020,28.82,28.87
