Variable:,tas
,"Bahamas, The","Administrative unit not available"
1901,23.13,23.62
1902,23.93,24.28
1903,23.67,24.08
1904,23.66,24.03
1905,24.23,24.55
1906,23.70,24.07
1907,24.21,24.47
1908,24.17,24.46
1909,24.04,24.34
1910,22.99,23.43
1911,24.44,24.69
1912,24.54,24.81
1913,24.18,24.45
1914,23.75,24.11
1915,23.68,24.10
1916,23.82,24.17
1917,23.61,23.94
1918,24.01,24.33
1919,24.22,24.51
1920,23.91,24.26
1921,24.40,24.65
1922,24.28,24.55
1923,24.11,24.43
1924,24.37,24.72
1925,24.46,24.74
1926,24.31,24.66
1927,24.34,24.64
1928,23.98,24.35
1929,24.72,24.95
1930,24.08,24.41
1931,23.98,24.37
1932,24.51,24.82
1933,24.52,24.83
1934,24.13,24.46
1935,24.00,24.33
1936,24.31,24.64
1937,24.31,24.64
1938,24.26,24.57
1939,24.55,24.84
1940,23.54,24.00
1941,24.21,24.58
1942,24.04,24.44
1943,23.93,24.29
1944,24.21,24.51
1945,24.32,24.55
1946,24.87,24.98
1947,24.56,24.80
1948,25.22,25.41
1949,24.77,24.89
1950,24.20,24.38
1951,24.20,24.47
1952,24.28,24.57
1953,24.57,24.82
1954,23.98,24.36
1955,24.06,24.35
1956,23.89,24.23
1957,24.59,24.92
1958,23.93,24.47
1959,24.64,25.02
1960,24.03,24.56
1961,24.38,24.78
1962,24.02,24.49
1963,23.94,24.43
1964,24.50,24.87
1965,24.44,24.73
1966,23.88,24.34
1967,24.38,24.66
1968,23.50,23.96
1969,23.88,24.35
1970,23.92,24.32
1971,24.39,24.66
1972,24.83,25.05
1973,24.39,24.75
1974,24.64,24.81
1975,24.92,25.08
1976,23.99,24.33
1977,24.06,24.48
1978,24.24,24.60
1979,24.46,24.77
1980,24.36,24.80
1981,24.09,24.55
1982,25.15,25.36
1983,24.32,24.79
1984,24.23,24.59
1985,24.40,24.72
1986,24.79,25.05
1987,24.47,24.93
1988,24.52,24.97
1989,24.87,25.16
1990,25.35,25.59
1991,25.26,25.55
1992,24.48,24.95
1993,24.77,25.13
1994,25.37,25.69
1995,24.81,25.21
1996,24.47,24.84
1997,24.99,25.40
1998,25.18,25.58
1999,24.76,25.12
2000,24.64,25.01
2001,24.75,25.14
2002,25.13,25.50
2003,25.00,25.41
2004,24.79,25.18
2005,24.80,25.16
2006,24.92,25.30
2007,25.20,25.47
2008,24.89,25.16
2009,25.03,25.30
2010,24.09,24.48
2011,25.19,25.38
2012,24.94,25.24
2013,25.11,25.44
2014,25.11,25.51
2015,26.01,26.27
2016,25.44,25.77
2017,25.58,25.86
2018,25.37,25.69
2019,25.85,26.12
2020,25.88,26.14
