Variable:,tas
,Spain,Andalucía,Aragón,Canarias,Cantabria,"Castilla-La Mancha","Castilla y León",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Ciudad Autónoma de Melilla","Comunidad de Madrid","Comunidad Foral de Navarra","Comunitat Valenciana",Extremadura,Galicia,"Illes Balears","La Rioja","País Vasco/Euskadi","Principado de Asturias","Región de Murcia"
1901,12.17,15.01,10.58,17.58,10.02,12.26,9.96,11.51,16.72,17.09,11.89,10.42,13.98,14.47,10.71,15.51,8.96,10.35,9.37,14.33
1902,12.39,15.17,10.88,17.55,10.20,12.53,10.17,11.84,16.74,17.11,12.14,10.67,14.31,14.63,10.86,15.87,9.21,10.57,9.52,14.61
1903,12.46,15.21,10.88,17.24,10.38,12.55,10.32,11.81,16.82,17.08,12.19,10.77,14.20,14.74,11.11,15.61,9.35,10.71,9.74,14.55
1904,12.85,15.61,11.34,17.13,10.69,12.97,10.66,12.32,17.18,17.49,12.61,11.19,14.69,15.12,11.35,16.13,9.70,11.08,9.97,14.99
1905,12.19,14.98,10.62,17.26,10.01,12.32,9.98,11.59,16.57,16.91,11.95,10.47,14.01,14.47,10.72,15.49,8.98,10.37,9.37,14.37
1906,12.45,15.17,10.87,17.20,10.43,12.50,10.35,11.83,16.73,17.02,12.20,10.84,14.13,14.72,11.16,15.50,9.36,10.78,9.80,14.49
1907,12.28,14.98,10.73,16.90,10.24,12.34,10.15,11.70,16.52,16.83,12.02,10.67,14.02,14.55,10.94,15.48,9.21,10.60,9.57,14.33
1908,12.57,15.31,10.98,17.05,10.51,12.68,10.45,11.89,16.85,17.15,12.33,10.87,14.32,14.87,11.29,15.69,9.46,10.81,9.90,14.66
1909,12.12,14.94,10.45,17.30,9.97,12.25,9.96,11.36,16.53,16.81,11.89,10.30,13.85,14.48,10.82,15.30,8.89,10.25,9.41,14.26
1910,12.24,14.98,10.68,17.21,10.15,12.32,10.09,11.68,16.55,16.89,11.98,10.59,14.00,14.49,10.90,15.47,9.09,10.52,9.55,14.37
1911,12.51,15.09,11.17,17.19,10.57,12.50,10.35,12.29,16.58,17.04,12.15,11.14,14.34,14.59,11.14,16.05,9.53,11.02,9.86,14.55
1912,12.32,15.04,10.78,17.25,10.26,12.40,10.16,11.74,16.56,16.96,12.04,10.68,14.10,14.56,10.99,15.59,9.19,10.61,9.62,14.45
1913,12.63,15.26,11.21,17.26,10.61,12.69,10.46,12.23,16.70,17.17,12.33,11.11,14.48,14.77,11.23,16.04,9.55,11.01,9.93,14.74
1914,12.37,15.05,10.79,17.32,10.34,12.44,10.24,11.77,16.49,16.88,12.10,10.73,14.12,14.61,11.10,15.75,9.25,10.68,9.74,14.47
1915,12.37,15.10,10.77,17.49,10.31,12.46,10.22,11.75,16.61,16.95,12.10,10.70,14.08,14.65,11.07,15.59,9.24,10.64,9.69,14.44
1916,12.45,15.11,10.95,17.12,10.43,12.52,10.31,11.98,16.61,16.99,12.15,10.89,14.20,14.66,11.10,15.76,9.40,10.81,9.75,14.52
1917,11.86,14.60,10.26,16.81,9.77,11.96,9.70,11.25,16.12,16.48,11.56,10.16,13.60,14.15,10.55,15.15,8.72,10.10,9.14,13.95
1918,12.27,14.93,10.68,16.59,10.33,12.30,10.18,11.65,16.45,16.75,11.96,10.68,13.90,14.54,11.15,15.30,9.21,10.65,9.74,14.25
1919,12.15,14.87,10.50,17.64,10.14,12.21,10.05,11.44,16.40,16.68,11.87,10.46,13.79,14.49,10.99,15.14,9.03,10.43,9.55,14.17
1920,12.56,15.21,11.05,16.92,10.60,12.64,10.41,12.12,16.71,17.09,12.29,10.95,14.31,14.75,11.28,15.95,9.46,10.90,9.91,14.63
1921,12.82,15.38,11.36,16.66,10.94,12.82,10.77,12.39,16.88,17.20,12.52,11.39,14.46,15.00,11.71,16.06,9.85,11.32,10.36,14.77
1922,12.36,15.11,10.74,17.15,10.27,12.47,10.22,11.68,16.63,16.98,12.11,10.63,14.10,14.66,11.05,15.64,9.21,10.58,9.65,14.46
1923,12.57,15.22,11.07,17.29,10.66,12.58,10.47,12.14,16.80,17.08,12.25,11.16,14.22,14.80,11.27,15.77,9.63,11.07,9.94,14.56
1924,12.79,15.63,11.23,17.32,10.59,12.93,10.55,12.21,17.28,17.68,12.50,11.04,14.62,15.11,11.27,16.17,9.57,10.95,9.90,15.02
1925,11.97,14.70,10.37,17.17,10.00,11.97,9.87,11.42,16.41,16.50,11.63,10.43,13.53,14.29,10.78,15.15,8.92,10.36,9.40,13.91
1926,13.34,16.09,11.76,18.16,11.24,13.45,11.20,12.72,17.78,17.85,13.12,11.68,14.97,15.65,12.02,16.47,10.19,11.61,10.59,15.33
1927,12.85,15.47,11.41,17.86,10.73,13.00,10.67,12.44,17.07,17.40,12.68,11.27,14.66,15.01,11.38,16.25,9.74,11.15,9.99,14.96
1928,12.89,15.41,11.53,17.82,10.92,13.01,10.74,12.56,16.98,17.33,12.66,11.49,14.69,14.96,11.48,16.24,9.92,11.37,10.14,15.00
1929,12.81,15.49,11.18,17.49,10.77,12.93,10.74,12.09,17.13,17.19,12.68,11.12,14.40,15.13,11.57,15.74,9.66,11.08,10.13,14.74
1930,12.96,15.56,11.58,17.67,10.92,13.06,10.78,12.61,17.23,17.44,12.72,11.49,14.77,15.09,11.54,16.29,9.93,11.36,10.17,15.07
1931,12.59,15.28,11.07,17.63,10.43,12.77,10.41,11.98,17.02,17.15,12.38,10.90,14.46,14.80,11.19,15.88,9.40,10.81,9.79,14.81
1932,12.27,14.85,10.89,17.33,10.24,12.39,10.10,11.90,16.51,16.68,12.05,10.81,14.08,14.37,10.88,15.64,9.26,10.68,9.49,14.39
1933,12.68,15.34,11.23,17.59,10.59,12.81,10.49,12.16,17.08,17.21,12.41,11.11,14.53,14.85,11.29,15.94,9.59,11.01,9.89,14.84
1934,12.58,15.13,11.23,17.19,10.62,12.67,10.45,12.24,16.78,16.90,12.33,11.21,14.29,14.70,11.22,15.76,9.64,11.08,9.89,14.54
1935,12.35,15.09,10.85,17.49,10.23,12.41,10.12,11.92,16.83,17.10,11.99,10.76,14.12,14.55,10.98,15.67,9.17,10.66,9.63,14.56
1936,12.33,15.01,10.86,17.34,10.35,12.33,10.16,11.94,16.82,17.00,11.94,10.85,14.06,14.51,11.02,15.69,9.27,10.76,9.69,14.39
1937,13.07,15.84,11.59,18.30,10.95,13.11,10.84,12.65,17.72,17.83,12.70,11.49,14.83,15.31,11.63,16.38,9.95,11.40,10.27,15.21
1938,12.56,15.33,10.93,17.63,10.54,12.62,10.44,11.88,17.23,17.10,12.28,10.93,14.16,14.85,11.37,15.67,9.44,10.88,9.99,14.54
1939,12.38,15.06,10.82,17.38,10.41,12.42,10.28,11.82,16.92,16.88,12.06,10.84,14.04,14.64,11.14,15.60,9.35,10.77,9.81,14.43
1940,12.58,15.51,10.95,17.92,10.40,12.70,10.34,11.80,17.47,17.54,12.26,10.85,14.33,14.92,11.20,15.84,9.40,10.81,9.73,14.72
1941,12.25,15.21,10.51,17.69,10.08,12.37,10.06,11.42,17.25,17.16,11.97,10.44,13.82,14.69,10.94,15.37,8.96,10.38,9.48,14.29
1942,12.82,15.65,11.25,17.49,10.62,12.96,10.59,12.24,17.35,17.67,12.54,11.09,14.60,15.12,11.37,16.28,9.59,11.01,9.94,14.99
1943,13.19,15.83,11.73,17.29,11.16,13.26,11.06,12.84,17.48,17.75,12.97,11.69,14.86,15.42,11.86,16.57,10.15,11.61,10.46,15.13
1944,12.58,15.39,10.98,17.45,10.49,12.66,10.41,12.00,17.27,17.34,12.32,10.95,14.16,14.92,11.24,15.80,9.44,10.88,9.80,14.57
1945,13.51,16.35,11.93,17.90,11.38,13.60,11.31,12.92,18.07,18.12,13.23,11.86,15.14,15.86,12.13,16.67,10.34,11.79,10.70,15.50
1946,12.71,15.53,11.16,17.36,10.49,12.85,10.44,12.28,17.32,17.46,12.45,10.99,14.48,14.96,11.19,16.25,9.49,10.89,9.77,14.91
1947,13.36,15.92,11.95,18.00,11.36,13.46,11.23,12.98,17.62,17.78,13.16,11.81,15.18,15.52,11.98,16.83,10.34,11.76,10.62,15.28
1948,13.45,16.25,11.86,17.93,11.34,13.55,11.30,12.79,18.02,18.02,13.25,11.73,15.11,15.82,12.11,16.62,10.27,11.66,10.65,15.38
1949,13.43,16.16,11.84,17.72,11.41,13.48,11.30,12.85,17.88,17.97,13.14,11.83,15.05,15.71,12.19,16.59,10.33,11.79,10.80,15.46
1950,13.12,15.90,11.61,17.58,10.94,13.24,10.88,12.66,17.55,17.81,12.85,11.49,14.95,15.38,11.64,16.53,9.90,11.38,10.25,15.34
1951,12.57,15.33,10.99,17.23,10.53,12.58,10.38,12.12,17.08,17.47,12.18,10.95,14.28,14.87,11.30,16.07,9.40,10.89,9.93,14.68
1952,13.07,15.64,11.71,17.61,11.06,13.09,10.90,12.85,17.32,17.80,12.67,11.60,14.95,15.14,11.67,16.80,10.05,11.50,10.36,15.23
1953,13.04,15.90,11.40,17.48,10.85,13.09,10.81,12.47,17.67,17.85,12.70,11.32,14.71,15.45,11.75,16.36,9.78,11.25,10.27,15.09
