Variable:,tas
,"Federated States of Micronesia","Administrative unit not available"
1901,26.41,26.90
1902,26.41,26.90
1903,26.41,26.90
1904,26.41,26.90
1905,26.41,26.90
1906,26.41,26.90
1907,26.41,26.90
1908,26.41,26.90
1909,26.41,26.90
1910,26.41,26.90
1911,26.41,26.90
1912,26.41,26.90
1913,26.41,26.90
1914,26.41,26.90
1915,26.41,26.90
1916,26.41,26.90
1917,26.41,26.90
1918,26.41,26.90
1919,26.41,26.90
1920,26.41,26.90
1921,26.41,26.87
1922,26.41,26.85
1923,26.41,26.83
1924,26.41,26.81
1925,26.41,26.85
1926,26.07,26.63
1927,26.34,26.86
1928,25.81,26.46
1929,25.78,26.37
1930,25.72,26.36
1931,25.94,26.53
1932,25.70,26.34
1933,25.58,26.25
1934,25.83,26.44
1935,26.17,26.70
1936,26.41,26.87
1937,26.18,26.70
1938,26.41,26.87
1939,26.41,26.87
1940,26.41,26.86
1941,26.03,26.55
1942,25.83,26.40
1943,25.60,26.20
1944,26.41,26.90
1945,26.41,26.86
1946,26.43,26.94
1947,26.43,26.94
1948,26.43,26.90
1949,26.42,26.88
1950,26.29,26.77
1951,26.18,26.76
1952,26.28,26.81
1953,26.33,26.86
1954,26.11,26.68
1955,25.84,26.41
1956,25.96,26.51
1957,26.48,26.96
1958,26.38,26.88
1959,26.21,26.74
1960,26.19,26.72
1961,26.14,26.65
1962,26.18,26.71
1963,26.14,26.68
1964,26.07,26.60
1965,25.96,26.50
1966,26.28,26.80
1967,26.12,26.63
1968,26.04,26.58
1969,26.10,26.68
1970,26.43,26.95
1971,26.02,26.58
1972,26.16,26.68
1973,26.52,26.99
1974,26.24,26.75
1975,26.22,26.69
1976,26.14,26.63
1977,26.64,27.08
1978,26.58,27.02
1979,26.63,27.07
1980,26.63,27.08
1981,26.84,27.25
1982,26.63,27.05
1983,26.90,27.30
1984,26.86,27.29
1985,26.68,27.12
1986,26.67,27.13
1987,26.70,27.17
1988,26.73,27.21
1989,26.50,27.00
1990,26.54,27.03
1991,26.37,26.87
1992,26.46,26.95
1993,26.17,26.71
1994,26.46,26.95
1995,26.60,27.04
1996,26.43,26.95
1997,26.14,26.71
1998,26.27,26.83
1999,26.00,26.60
2000,26.55,27.07
2001,26.72,27.25
2002,26.76,27.29
2003,26.60,27.13
2004,26.76,27.30
2005,26.86,27.35
2006,26.75,27.27
2007,26.73,27.23
2008,26.46,26.99
2009,26.53,27.06
2010,26.41,26.92
2011,26.48,27.02
2012,26.73,27.27
2013,27.10,27.57
2014,26.71,27.25
2015,26.80,27.31
2016,27.16,27.65
2017,27.24,27.67
2018,27.05,27.56
2019,27.08,27.53
2020,27.22,27.61
