Variable:,tas
,Tonga,"Administrative unit not available"
1901,24.18,24.44
1902,24.19,24.45
1903,24.13,24.34
1904,24.06,24.22
1905,24.08,24.26
1906,24.20,24.46
1907,24.08,24.26
1908,24.08,24.27
1909,24.03,24.17
1910,24.04,24.20
1911,24.21,24.47
1912,24.30,24.64
1913,24.25,24.55
1914,24.33,24.67
1915,24.17,24.41
1916,24.09,24.28
1917,24.05,24.22
1918,24.13,24.33
1919,24.32,24.66
1920,24.31,24.64
1921,24.52,24.81
1922,24.69,25.00
1923,24.10,24.39
1924,24.58,24.89
1925,24.26,24.56
1926,24.29,24.63
1927,24.44,24.78
1928,24.23,24.56
1929,24.03,24.35
1930,24.02,24.35
1931,24.14,24.43
1932,24.36,24.67
1933,24.38,24.64
1934,24.31,24.58
1935,24.57,24.86
1936,24.33,24.63
1937,24.28,24.58
1938,24.68,24.96
1939,24.21,24.48
1940,24.13,24.51
1941,24.29,24.69
1942,24.31,24.64
1943,24.32,24.65
1944,24.11,24.44
1945,24.22,24.55
1946,24.32,24.64
1947,24.39,24.73
1948,24.10,24.43
1949,24.33,24.66
1950,24.41,24.73
1951,24.11,24.47
1952,24.51,24.88
1953,24.34,24.69
1954,24.55,24.87
1955,24.51,24.81
1956,24.30,24.61
1957,24.22,24.57
1958,24.25,24.62
1959,24.44,24.79
1960,24.31,24.66
1961,24.34,24.68
1962,24.12,24.46
1963,24.05,24.43
1964,24.24,24.57
1965,23.63,24.02
1966,24.02,24.39
1967,24.15,24.45
1968,24.18,24.52
1969,24.03,24.42
1970,24.29,24.62
1971,24.20,24.49
1972,24.01,24.39
1973,24.58,24.88
1974,24.36,24.61
1975,24.43,24.70
1976,24.23,24.54
1977,24.29,24.63
1978,24.18,24.51
1979,24.31,24.65
1980,24.26,24.63
1981,24.37,24.68
1982,24.14,24.51
1983,24.38,24.73
1984,24.63,24.92
1985,24.54,24.86
1986,24.23,24.58
1987,24.15,24.49
1988,24.92,25.19
1989,24.50,24.79
1990,24.61,24.95
1991,24.23,24.62
1992,24.18,24.59
1993,23.89,24.33
1994,24.18,24.58
1995,24.59,24.95
1996,24.73,25.10
1997,24.33,24.74
1998,24.88,25.20
1999,24.56,24.92
2000,24.79,25.15
2001,25.02,25.39
2002,24.43,24.89
2003,24.64,25.04
2004,24.64,25.02
2005,24.64,25.10
2006,24.44,24.88
2007,24.56,25.08
2008,24.45,24.90
2009,24.41,24.85
2010,24.49,24.95
2011,24.93,25.19
2012,24.43,24.83
2013,24.56,25.00
2014,24.61,24.97
2015,24.39,24.79
2016,25.04,25.38
2017,25.02,25.34
2018,24.50,24.94
2019,24.68,25.12
2020,25.03,25.37
