Variable:,tas
,Nauru,"Administrative unit not available"
1901,27.73,27.73
1902,27.73,27.73
1903,27.73,27.73
1904,27.73,27.73
1905,27.73,27.73
1906,27.73,27.73
1907,27.73,27.73
1908,27.73,27.73
1909,27.73,27.73
1910,27.73,27.73
1911,27.73,27.73
1912,27.73,27.73
1913,27.73,27.73
1914,27.73,27.73
1915,27.73,27.73
1916,27.73,27.73
1917,27.73,27.73
1918,27.73,27.73
1919,27.73,27.73
1920,27.73,27.73
1921,27.48,27.48
1922,27.58,27.58
1923,27.34,27.34
1924,27.35,27.35
1925,28.05,28.05
1926,27.73,27.73
1927,28.86,28.86
1928,28.76,28.76
1929,28.47,28.47
1930,27.95,27.95
1931,28.25,28.25
1932,28.43,28.43
1933,28.27,28.27
1934,28.35,28.35
1935,28.39,28.39
1936,27.73,27.73
1937,27.93,27.93
1938,27.61,27.61
1939,27.55,27.55
1940,27.31,27.31
1941,27.49,27.49
1942,27.73,27.73
1943,27.73,27.73
1944,27.73,27.73
1945,27.73,27.73
1946,27.73,27.73
1947,27.65,27.65
1948,26.91,26.91
1949,27.07,27.07
1950,27.08,27.08
1951,27.50,27.50
1952,27.83,27.83
1953,27.58,27.58
1954,27.76,27.76
1955,27.36,27.36
1956,27.69,27.69
1957,27.58,27.58
1958,27.74,27.74
1959,27.90,27.90
1960,27.75,27.75
1961,27.64,27.64
1962,27.83,27.83
1963,27.84,27.84
1964,27.36,27.36
1965,27.33,27.33
1966,27.74,27.74
1967,27.68,27.68
1968,27.66,27.66
1969,27.68,27.68
1970,27.65,27.65
1971,27.60,27.60
1972,27.53,27.53
1973,28.05,28.05
1974,27.81,27.81
1975,27.52,27.52
1976,27.43,27.43
1977,27.48,27.48
1978,27.86,27.86
1979,27.72,27.72
1980,27.74,27.74
1981,27.83,27.83
1982,27.68,27.68
1983,28.08,28.08
1984,28.19,28.19
1985,28.26,28.26
1986,27.98,27.98
1987,27.63,27.63
1988,27.75,27.75
1989,27.79,27.79
1990,27.79,27.79
1991,27.81,27.81
1992,27.78,27.78
1993,27.68,27.68
1994,27.82,27.82
1995,27.93,27.93
1996,27.88,27.88
1997,27.83,27.83
1998,27.92,27.92
1999,27.63,27.63
2000,27.75,27.75
2001,27.82,27.82
2002,27.83,27.83
2003,27.84,27.84
2004,27.84,27.84
2005,27.83,27.83
2006,27.83,27.83
2007,27.80,27.80
2008,27.75,27.75
2009,27.78,27.78
2010,27.73,27.73
2011,27.77,27.77
2012,27.84,27.84
2013,27.83,27.83
2014,27.83,27.83
2015,27.85,27.85
2016,27.86,27.86
2017,27.84,27.84
2018,27.83,27.83
2019,28.06,28.06
2020,28.15,28.15
