Variable:,tas
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
1901,27.79,27.35,27.69,28.20,28.42,27.47
1902,27.91,27.48,27.82,28.33,28.53,27.59
1903,28.09,27.66,28.00,28.50,28.69,27.77
1904,27.83,27.40,27.73,28.24,28.47,27.51
1905,28.02,27.59,27.93,28.43,28.63,27.70
1906,27.98,27.55,27.89,28.39,28.59,27.67
1907,27.67,27.23,27.57,28.09,28.32,27.35
1908,28.03,27.61,27.94,28.45,28.64,27.72
1909,27.38,26.93,27.25,27.80,28.06,27.06
1910,28.29,27.87,28.22,28.71,28.88,27.97
1911,28.34,27.86,28.25,28.72,28.95,28.04
1912,27.77,27.27,27.65,28.16,28.42,27.47
1913,27.77,27.31,27.66,28.18,28.42,27.47
1914,27.79,27.35,27.68,28.20,28.42,27.47
1915,27.79,27.35,27.68,28.20,28.42,27.47
1916,27.78,27.34,27.68,28.19,28.42,27.47
1917,27.79,27.36,27.68,28.21,28.42,27.47
1918,27.79,27.36,27.68,28.21,28.42,27.47
1919,27.79,27.35,27.68,28.20,28.42,27.47
1920,27.78,27.35,27.68,28.20,28.42,27.47
1921,27.79,27.38,27.69,28.22,28.42,27.47
1922,27.80,27.42,27.71,28.24,28.42,27.47
1923,27.79,27.35,27.68,28.20,28.42,27.47
1924,27.82,27.45,27.74,28.26,28.43,27.47
1925,27.80,27.41,27.70,28.24,28.42,27.47
1926,27.80,27.38,27.70,28.22,28.42,27.47
1927,27.80,27.38,27.70,28.22,28.42,27.48
1928,27.81,27.42,27.73,28.24,28.42,27.48
1929,27.79,27.34,27.68,28.20,28.42,27.47
1930,27.77,27.30,27.66,28.18,28.42,27.47
1931,27.80,27.40,27.70,28.23,28.42,27.47
1932,27.79,27.36,27.69,28.21,28.42,27.47
1933,27.79,27.36,27.69,28.21,28.42,27.48
1934,27.79,27.35,27.68,28.20,28.42,27.47
1935,27.79,27.35,27.69,28.20,28.42,27.47
1936,27.79,27.37,27.69,28.21,28.42,27.47
1937,27.80,27.40,27.71,28.23,28.42,27.47
1938,27.79,27.35,27.68,28.20,28.42,27.47
1939,27.80,27.39,27.70,28.22,28.42,27.47
1940,27.81,27.42,27.72,28.23,28.42,27.47
1941,27.70,27.32,27.61,28.15,28.33,27.36
1942,27.56,27.21,27.46,28.03,28.19,27.20
1943,27.14,26.88,27.03,27.69,27.77,26.74
1944,27.49,27.16,27.39,27.98,28.12,27.13
1945,27.37,27.07,27.25,27.89,28.01,26.99
1946,27.74,27.39,27.61,28.22,28.39,27.39
1947,27.98,27.63,27.87,28.46,28.61,27.64
1948,27.40,27.03,27.26,27.87,28.07,27.05
1949,27.16,26.78,27.01,27.64,27.85,26.82
1950,27.28,26.83,27.13,27.70,27.97,26.97
1951,27.81,27.56,27.74,28.31,28.38,27.44
1952,27.84,27.51,27.76,28.30,28.41,27.49
1953,28.25,27.96,28.14,28.76,28.87,27.88
1954,28.26,27.93,28.15,28.75,28.90,27.89
1955,28.34,27.95,28.21,28.81,29.01,27.99
1956,27.52,27.13,27.41,27.97,28.17,27.18
1957,27.42,27.00,27.31,27.85,28.07,27.09
1958,27.85,27.44,27.75,28.28,28.48,27.53
1959,27.75,27.33,27.65,28.17,28.36,27.42
1960,27.61,27.18,27.51,28.02,28.24,27.30
1961,27.34,26.96,27.22,27.80,27.98,27.01
1962,27.35,26.95,27.22,27.79,27.99,27.02
1963,27.73,27.32,27.61,28.17,28.38,27.40
1964,27.22,26.83,27.12,27.66,27.85,26.89
1965,27.60,27.14,27.49,28.02,28.25,27.27
1966,27.71,27.28,27.61,28.14,28.36,27.38
1967,27.18,26.79,27.07,27.62,27.80,26.85
1968,27.25,26.85,27.16,27.68,27.87,26.92
1969,27.98,27.53,27.86,28.38,28.63,27.66
1970,27.87,27.44,27.77,28.29,28.50,27.55
1971,27.35,26.94,27.25,27.78,27.98,27.03
1972,27.80,27.40,27.69,28.23,28.43,27.47
1973,28.25,27.82,28.14,28.68,28.90,27.93
1974,27.52,27.08,27.41,27.93,28.15,27.20
1975,27.75,27.31,27.65,28.14,28.37,27.44
1976,28.00,27.57,27.88,28.42,28.66,27.68
1977,28.02,27.61,27.92,28.45,28.66,27.70
1978,28.00,27.55,27.90,28.41,28.64,27.69
1979,28.21,27.77,28.10,28.62,28.83,27.89
1980,28.56,28.13,28.45,28.98,29.19,28.24
1981,27.59,27.17,27.51,27.99,28.20,27.27
1982,27.83,27.40,27.73,28.25,28.46,27.51
1983,27.95,27.53,27.85,28.37,28.58,27.63
1984,27.69,27.17,27.57,28.06,28.35,27.40
1985,27.72,27.27,27.61,28.12,28.36,27.42
1986,27.78,27.32,27.67,28.17,28.42,27.47
1987,27.93,27.52,27.82,28.36,28.55,27.61
1988,27.85,27.49,27.76,28.29,28.45,27.52
1989,27.44,27.06,27.34,27.88,28.05,27.11
