"","Date","tmax","tmin","prcp"
"1",1895-01-01,67,51,0
"2",1895-01-02,66,35,0
"3",1895-01-03,72,33,0
"4",1895-01-04,72,37,0
"5",1895-01-05,63,39,0
"6",1895-01-06,66,51,0
"7",1895-01-07,65,47,0.06
"8",1895-01-08,62,32,0
"9",1895-01-09,67,39,0
"10",1895-01-10,72,31,0
"11",1895-01-11,75,39,0
"12",1895-01-12,76,32,0
"13",1895-01-13,72,37,0
"14",1895-01-14,72,39,0
"15",1895-01-15,67,50,0.18
"16",1895-01-16,64,51,0.11
"17",1895-01-17,67,50,0
"18",1895-01-18,67,40,0
"19",1895-01-19,64,50,0
"20",1895-01-20,61,44,0
"21",1895-01-21,68,35,0
"22",1895-01-22,68,37,0
"23",1895-01-23,68,33,0
"24",1895-01-24,60,39,0
"25",1895-01-25,58,28,0
"26",1895-01-26,56,33,0
"27",1895-01-27,55,39,0.09
"28",1895-01-28,55,36,0.12
"29",1895-01-29,59,33,0
"30",1895-01-30,60,27,0
"31",1895-01-31,62,30,0
"32",1895-02-01,64,29,0
"33",1895-02-02,67,29,0
"34",1895-02-03,70,29,0
"35",1895-02-04,70,32,0
"36",1895-02-05,73,32,0
"37",1895-02-06,72,33,NA
"38",1895-02-07,71,34,0
"39",1895-02-08,73,40,0
"40",1895-02-09,69,39,0
"41",1895-02-10,65,43,0
"42",1895-02-11,62,42,0
"43",1895-02-12,67,47,0
"44",1895-02-13,67,49,0
"45",1895-02-14,65,34,0
"46",1895-02-15,56,30,0
"47",1895-02-16,58,30,0
"48",1895-02-17,67,29,0
"49",1895-02-18,72,31,0
"50",1895-02-19,76,34,0
"51",1895-02-20,79,38,0
"52",1895-02-21,80,40,0
"53",1895-02-22,81,47,0
"54",1895-02-23,84,43,0
"55",1895-02-24,78,45,0
"56",1895-02-25,72,42,0
"57",1895-02-26,71,37,0
"58",1895-02-27,73,39,0
"59",1895-02-28,78,41,0
"60",1895-03-01,77,36,0
"61",1895-03-02,77,45,0
"62",1895-03-03,79,45,0
"63",1895-03-04,77,36,0
"64",1895-03-05,79,35,0
"65",1895-03-06,75,40,0
"66",1895-03-07,77,36,0
"67",1895-03-08,81,38,0
"68",1895-03-09,78,42,0
"69",1895-03-10,77,40,0
"70",1895-03-11,69,48,0
"71",1895-03-12,74,40,0
"72",1895-03-13,72,41,0
"73",1895-03-14,68,47,0
"74",1895-03-15,65,46,0
"75",1895-03-16,71,30,0
"76",1895-03-17,70,34,0
"77",1895-03-18,67,43,0
"78",1895-03-19,69,30,0
"79",1895-03-20,78,31,0
"80",1895-03-21,77,35,0
"81",1895-03-22,79,36,0
"82",1895-03-23,80,40,0
"83",1895-03-24,86,41,0
"84",1895-03-25,92,44,0
"85",1895-03-26,91,60,0
"86",1895-03-27,91,58,0
"87",1895-03-28,86,63,0
"88",1895-03-29,77,55,0
"89",1895-03-30,66,38,0
"90",1895-03-31,71,30,0
"91",1895-04-01,77,NA,0
"92",1895-04-02,NA,NA,0
"93",1895-04-03,NA,NA,0
"94",1895-04-04,83,51,0
"95",1895-04-05,78,41,0
"96",1895-04-06,66,35,0
"97",1895-04-07,78,31,0
"98",1895-04-08,86,53,0
"99",1895-04-09,85,41,0
"100",1895-04-10,85,44,0
"101",1895-04-11,87,41,0
"102",1895-04-12,92,42,0
"103",1895-04-13,95,46,0
"104",1895-04-14,92,57,0
"105",1895-04-15,71,NA,0
"106",1895-04-16,83,41,0
"107",1895-04-17,88,44,0
"108",1895-04-18,88,47,0
"109",1895-04-19,89,52,0
"110",1895-04-20,89,51,0
"111",1895-04-21,87,49,0
"112",1895-04-22,81,49,0
"113",1895-04-23,83,53,0
"114",1895-04-24,87,58,0
"115",1895-04-25,86,54,0
"116",1895-04-26,83,45,0
"117",1895-04-27,86,47,0
"118",1895-04-28,87,44,0
"119",1895-04-29,79,46,0
"120",1895-04-30,84,43,0
"121",1895-05-01,85,49,0
"122",1895-05-02,82,60,0
"123",1895-05-03,82,55,0
"124",1895-05-04,84,47,0
"125",1895-05-05,89,53,0
"126",1895-05-06,98,54,0
"127",1895-05-07,102,57,0
"128",1895-05-08,101,55,0
"129",1895-05-09,101,62,0
"130",1895-05-10,97,60,0
"131",1895-05-11,97,57,0
"132",1895-05-12,97,70,0
"133",1895-05-13,100,62,0
"134",1895-05-14,97,64,0
"135",1895-05-15,97,62,0
"136",1895-05-16,96,61,0
"137",1895-05-17,96,58,0
"138",1895-05-18,88,65,0.07
"139",1895-05-19,89,55,0
"140",1895-05-20,90,57,0
"141",1895-05-21,86,63,0.02
"142",1895-05-22,86,56,0
"143",1895-05-23,87,58,0
"144",1895-05-24,88,58,0
"145",1895-05-25,92,53,0
"146",1895-05-26,94,56,0
"147",1895-05-27,96,62,0
"148",1895-05-28,92,68,0
"149",1895-05-29,79,54,0
"150",1895-05-30,83,50,0
"151",1895-05-31,90,53,0
"152",1895-06-01,85,52,0
"153",1895-06-02,82,45,0
"154",1895-06-03,89,48,0
"155",1895-06-04,91,54,0
"156",1895-06-05,104,73,0
"157",1895-06-06,102,76,0
"158",1895-06-07,99,66,0
"159",1895-06-08,95,73,0.01
"160",1895-06-09,95,60,0
"161",1895-06-10,97,53,0
"162",1895-06-11,102,56,0
"163",1895-06-12,100,63,0
"164",1895-06-13,100,69,0
"165",1895-06-14,98,60,0
"166",1895-06-15,99,64,0
"167",1895-06-16,100,61,0
"168",1895-06-17,98,57,0
"169",1895-06-18,98,66,0
"170",1895-06-19,97,56,0
"171",1895-06-20,100,56,0
"172",1895-06-21,104,58,0
"173",1895-06-22,104,66,0
"174",1895-06-23,105,66,0
"175",1895-06-24,104,68,0
"176",1895-06-25,106,64,0
"177",1895-06-26,108,72,0
"178",1895-06-27,102,79,0.01
"179",1895-06-28,100,75,0
"180",1895-06-29,102,70,0
"181",1895-06-30,103,70,0
"182",1895-07-01,102,66,0
"183",1895-07-02,102,71,0
"184",1895-07-03,101,76,0
"185",1895-07-04,102,74,0
"186",1895-07-05,102,73,0
"187",1895-07-06,103,68,0
"188",1895-07-07,105,72,0
"189",1895-07-08,106,73,0
"190",1895-07-09,98,74,0.02
"191",1895-07-10,98,71,0
"192",1895-07-11,99,71,0
"193",1895-07-12,99,70,0
"194",1895-07-13,101,74,0
"195",1895-07-14,102,72,0
"196",1895-07-15,105,69,0
"197",1895-07-16,106,72,0
"198",1895-07-17,104,74,0
"199",1895-07-18,104,74,0
"200",1895-07-19,104,71,0
"201",1895-07-20,99,74,0
"202",1895-07-21,94,71,0.02
"203",1895-07-22,97,63,0
"204",1895-07-23,100,70,0
"205",1895-07-24,101,75,0
"206",1895-07-25,99,74,0.03
"207",1895-07-26,89,72,0.04
"208",1895-07-27,93,75,0
"209",1895-07-28,100,73,0
"210",1895-07-29,NA,NA,0
"211",1895-07-30,102,73,0
"212",1895-07-31,94,75,0
"213",1895-08-01,92,67,0.3
"214",1895-08-02,98,68,0
"215",1895-08-03,104,72,0
"216",1895-08-04,104,77,0
"217",1895-08-05,106,76,0
"218",1895-08-06,100,65,0.88
"219",1895-08-07,98,70,0.12
"220",1895-08-08,94,61,1.4
"221",1895-08-09,93,72,0.08
"222",1895-08-10,94,69,0.02
"223",1895-08-11,94,69,0.01
"224",1895-08-12,97,72,0
"225",1895-08-13,95,73,0
"226",1895-08-14,98,73,0
"227",1895-08-15,98,70,0.1
"228",1895-08-16,102,73,0
"229",1895-08-17,103,76,0
"230",1895-08-18,102,71,0
"231",1895-08-19,101,74,0.04
"232",1895-08-20,99,72,0
"233",1895-08-21,94,62,0.11
"234",1895-08-22,84,62,1
"235",1895-08-23,92,68,0
"236",1895-08-24,94,69,0
"237",1895-08-25,91,71,0.04
"238",1895-08-26,87,68,0.12
"239",1895-08-27,91,68,0.26
"240",1895-08-28,93,66,0
"241",1895-08-29,95,64,0
"242",1895-08-30,97,63,0
"243",1895-08-31,100,62,0
"244",1895-09-01,97,74,0
"245",1895-09-02,100,69,0
"246",1895-09-03,99,63,0
"247",1895-09-04,98,70,0
"248",1895-09-05,98,67,0
"249",1895-09-06,100,58,0
"250",1895-09-07,102,60,0
"251",1895-09-08,100,67,0
"252",1895-09-09,98,74,0
"253",1895-09-10,100,68,0
"254",1895-09-11,102,66,0
"255",1895-09-12,104,70,0
"256",1895-09-13,107,68,0
"257",1895-09-14,103,69,0
"258",1895-09-15,104,68,0
"259",1895-09-16,104,67,0
"260",1895-09-17,99,71,0.02
"261",1895-09-18,96,69,0.03
"262",1895-09-19,94,69,0.09
"263",1895-09-20,89,65,0.02
"264",1895-09-21,91,69,0
"265",1895-09-22,88,50,0
"266",1895-09-23,82,59,0.03
"267",1895-09-24,83,57,0.15
"268",1895-09-25,92,59,0
"269",1895-09-26,96,59,0
"270",1895-09-27,96,61,0
"271",1895-09-28,94,68,0
"272",1895-09-29,90,63,0.41
"273",1895-09-30,86,59,0
"274",1895-10-01,80,58,0
"275",1895-10-02,80,66,0
"276",1895-10-03,88,60,0.01
"277",1895-10-04,77,54,0.25
"278",1895-10-05,84,54,0
"279",1895-10-06,84,50,0
"280",1895-10-07,84,49,0
"281",1895-10-08,89,52,0
"282",1895-10-09,90,57,0
"283",1895-10-10,91,54,0
