"","Date","tmax","tmin","prcp"
"1",1898-01-01,52,24,NA
"2",1898-01-02,53,27,NA
"3",1898-01-03,63,34,NA
"4",1898-01-04,70,49,NA
"5",1898-01-05,72,41,NA
"6",1898-01-06,69,39,NA
"7",1898-01-07,71,39,NA
"8",1898-01-08,74,40,NA
"9",1898-01-09,75,NA,NA
"10",1898-01-10,75,55,NA
"11",1898-01-11,73,55,NA
"12",1898-01-12,63,39,NA
"13",1898-01-13,64,41,NA
"14",1898-01-14,63,40,NA
"15",1898-01-15,60,36,NA
"16",1898-01-16,57,32,NA
"17",1898-01-17,64,40,NA
"18",1898-01-18,60,42,NA
"19",1898-01-19,52,33,1.01
"20",1898-01-20,60,33,NA
"21",1898-01-21,59,48,0.5
"22",1898-01-22,58,42,NA
"23",1898-01-23,57,37,NA
"24",1898-01-24,71,46,NA
"25",1898-01-25,59,36,NA
"26",1898-01-26,55,36,NA
"27",1898-01-27,58,38,NA
"28",1898-01-28,67,47,NA
"29",1898-01-29,68,49,NA
"30",1898-01-30,70,48,NA
"31",1898-01-31,57,36,NA
"32",1898-02-01,60,40,NA
"33",1898-02-02,58,37,NA
"34",1898-02-03,55,33,NA
"35",1898-02-04,55,34,NA
"36",1898-02-05,65,35,NA
"37",1898-02-06,65,36,NA
"38",1898-02-07,68,38,NA
"39",1898-02-08,70,57,NA
"40",1898-02-09,75,58,1.5
"41",1898-02-10,72,54,0
"42",1898-02-11,68,49,NA
"43",1898-02-12,61,41,NA
"44",1898-02-13,65,40,NA
"45",1898-02-14,62,40,NA
"46",1898-02-15,63,59,NA
"47",1898-02-16,75,45,NA
"48",1898-02-17,66,46,0.2
"49",1898-02-18,74,47,NA
"50",1898-02-19,66,57,NA
"51",1898-02-20,70,38,NA
"52",1898-02-21,67,35,NA
"53",1898-02-22,59,35,NA
"54",1898-02-23,67,42,NA
"55",1898-02-24,70,50,NA
"56",1898-02-25,72,52,NA
"57",1898-02-26,75,60,NA
"58",1898-02-27,70,51,NA
"59",1898-02-28,72,45,NA
"60",1898-03-01,70,52,0.1
"61",1898-03-02,65,42,NA
"62",1898-03-03,51,35,NA
"63",1898-03-04,54,34,NA
"64",1898-03-05,58,35,NA
"65",1898-03-06,62,38,NA
"66",1898-03-07,77,45,NA
"67",1898-03-08,71,42,NA
"68",1898-03-09,73,43,NA
"69",1898-03-10,73,57,NA
"70",1898-03-11,74,65,NA
"71",1898-03-12,71,66,0.5
"72",1898-03-13,74,48,NA
"73",1898-03-14,72,48,NA
"74",1898-03-15,75,63,NA
"75",1898-03-16,82,62,NA
"76",1898-03-17,79,64,NA
"77",1898-03-18,79,67,NA
"78",1898-03-19,83,73,NA
"79",1898-03-20,80,70,NA
"80",1898-03-21,85,66,NA
"81",1898-03-22,85,35,NA
"82",1898-03-23,55,36,NA
"83",1898-03-24,60,38,NA
"84",1898-03-25,68,54,NA
"85",1898-03-26,72,64,NA
"86",1898-03-27,80,38,NA
"87",1898-03-28,55,42,1.5
"88",1898-03-29,55,40,0.5
"89",1898-03-30,56,41,NA
"90",1898-03-31,56,46,NA
"91",1898-04-01,77,51,NA
"92",1898-04-02,70,48,NA
"93",1898-04-03,71,52,NA
"94",1898-04-04,72,40,NA
"95",1898-04-05,65,39,NA
"96",1898-04-06,64,40,NA
"97",1898-04-07,68,42,NA
"98",1898-04-08,74,43,NA
"99",1898-04-09,80,53,NA
"100",1898-04-10,83,52,NA
"101",1898-04-11,75,43,0
"102",1898-04-12,71,40,1.5
"103",1898-04-13,72,48,0.5
"104",1898-04-14,76,50,NA
"105",1898-04-15,82,62,NA
"106",1898-04-16,78,60,NA
"107",1898-04-17,72,55,1.5
"108",1898-04-18,83,55,0.3
"109",1898-04-19,78,54,NA
"110",1898-04-20,84,63,NA
"111",1898-04-21,83,67,NA
"112",1898-04-22,86,57,NA
"113",1898-04-23,84,62,NA
"114",1898-04-24,83,53,NA
"115",1898-04-25,85,63,NA
"116",1898-04-26,84,53,NA
"117",1898-04-27,85,65,NA
"118",1898-04-28,87,68,NA
"119",1898-04-29,86,68,NA
"120",1898-04-30,85,72,NA
"121",1898-05-01,84,70,0.4
"122",1898-05-02,89,74,NA
"123",1898-05-03,88,72,NA
"124",1898-05-04,87,70,NA
"125",1898-05-05,82,50,0
"126",1898-05-06,70,53,NA
"127",1898-05-07,75,52,NA
"128",1898-05-08,80,60,NA
"129",1898-05-09,70,58,0.7
"130",1898-05-10,75,55,0.1
"131",1898-05-11,82,60,NA
"132",1898-05-12,85,60,NA
"133",1898-05-13,84,65,NA
"134",1898-05-14,85,68,NA
"135",1898-05-15,85,70,NA
"136",1898-05-16,88,72,NA
"137",1898-05-17,90,74,NA
"138",1898-05-18,90,75,NA
"139",1898-05-19,88,75,NA
"140",1898-05-20,88,74,NA
"141",1898-05-21,87,65,NA
"142",1898-05-22,80,67,1.3
"143",1898-05-23,90,70,NA
"144",1898-05-24,89,68,NA
"145",1898-05-25,91,70,NA
"146",1898-05-26,90,70,NA
"147",1898-05-27,90,72,NA
"148",1898-05-28,92,74,NA
"149",1898-05-29,94,72,NA
"150",1898-05-30,95,75,NA
"151",1898-05-31,95,78,NA
"152",1898-06-01,92,65,0.2
"153",1898-06-02,91,71,NA
"154",1898-06-03,93,75,NA
"155",1898-06-04,96,68,0.01
"156",1898-06-05,93,72,NA
"157",1898-06-06,94,70,NA
"158",1898-06-07,92,72,NA
"159",1898-06-08,91,70,NA
"160",1898-06-09,92,68,1.5
"161",1898-06-10,82,65,0.7
"162",1898-06-11,92,66,1
"163",1898-06-12,90,60,NA
"164",1898-06-13,88,70,0.3
"165",1898-06-14,94,76,NA
"166",1898-06-15,95,70,NA
"167",1898-06-16,94,72,0.01
"168",1898-06-17,95,70,NA
"169",1898-06-18,95,75,NA
"170",1898-06-19,100,73,0.1
"171",1898-06-20,96,72,NA
"172",1898-06-21,96,74,NA
"173",1898-06-22,96,75,NA
"174",1898-06-23,97,74,0.01
"175",1898-06-24,95,75,0.01
"176",1898-06-25,94,74,NA
"177",1898-06-26,95,74,NA
"178",1898-06-27,94,70,1
"179",1898-06-28,93,72,0.1
"180",1898-06-29,95,72,0.1
"181",1898-06-30,95,72,NA
"182",1898-07-01,94,70,0.6
"183",1898-07-02,90,70,0.7
"184",1898-07-03,92,70,0.5
"185",1898-07-04,92,72,0
"186",1898-07-05,94,72,0
"187",1898-07-06,98,72,0
"188",1898-07-07,95,75,0
"189",1898-07-08,95,74,0
"190",1898-07-09,98,78,0
"191",1898-07-10,91,72,1.4
"192",1898-07-11,88,68,0
"193",1898-07-12,89,68,0
"194",1898-07-13,91,65,0
"195",1898-07-14,90,68,0
"196",1898-07-15,91,67,0
"197",1898-07-16,94,71,0
"198",1898-07-17,95,76,0
"199",1898-07-18,96,72,0
"200",1898-07-19,97,75,0
"201",1898-07-20,98,75,0
"202",1898-07-21,98,75,0
"203",1898-07-22,100,72,0
"204",1898-07-23,102,75,0
"205",1898-07-24,99,75,0
"206",1898-07-25,95,75,0
"207",1898-07-26,98,82,0
"208",1898-07-27,97,74,0
"209",1898-07-28,96,74,0
"210",1898-07-29,96,75,0
"211",1898-07-30,97,76,0
"212",1898-07-31,98,72,0
"213",1898-08-01,96,76,0.01
"214",1898-08-02,96,72,0
"215",1898-08-03,96,74,0
"216",1898-08-04,95,74,0
"217",1898-08-05,94,72,0.4
"218",1898-08-06,95,74,0
"219",1898-08-07,98,74,0
"220",1898-08-08,94,70,2
"221",1898-08-09,92,70,0
"222",1898-08-10,92,70,0
"223",1898-08-11,94,70,0
"224",1898-08-12,92,65,0
"225",1898-08-13,93,70,0
"226",1898-08-14,94,72,0
"227",1898-08-15,93,71,0
"228",1898-08-16,94,72,0
"229",1898-08-17,95,72,0
"230",1898-08-18,95,72,0
"231",1898-08-19,95,75,0
"232",1898-08-20,94,72,0
"233",1898-08-21,94,73,0
"234",1898-08-22,95,75,0
"235",1898-08-23,97,75,0
"236",1898-08-24,98,76,0
"237",1898-08-25,97,76,0
"238",1898-08-26,91,72,0
"239",1898-08-27,85,70,1.2
"240",1898-08-28,92,70,0
"241",1898-08-29,91,68,0
"242",1898-08-30,92,70,0
"243",1898-08-31,91,72,0.3
"244",1898-09-01,88,70,0.1
"245",1898-09-02,91,72,0
"246",1898-09-03,92,74,0
"247",1898-09-04,94,73,0
"248",1898-09-05,91,71,0
"249",1898-09-06,91,65,0
"250",1898-09-07,80,68,0
"251",1898-09-08,82,62,0
"252",1898-09-09,84,65,0
"253",1898-09-10,82,65,0
"254",1898-09-11,80,63,0
"255",1898-09-12,82,55,0
"256",1898-09-13,90,70,0
"257",1898-09-14,92,70,0
"258",1898-09-15,92,71,0
"259",1898-09-16,93,70,0
"260",1898-09-17,88,67,0
"261",1898-09-18,82,68,0.4
"262",1898-09-19,81,70,0
"263",1898-09-20,85,68,0
"264",1898-09-21,86,65,0
"265",1898-09-22,92,72,0
"266",1898-09-23,91,73,0
"267",1898-09-24,91,70,0
"268",1898-09-25,91,70,0
"269",1898-09-26,91,65,0
"270",1898-09-27,89,63,0
"271",1898-09-28,88,66,0
"272",1898-09-29,88,65,0
"273",1898-09-30,87,60,0
"274",1898-10-01,90,70,0
"275",1898-10-02,92,68,0
"276",1898-10-03,90,72,0
"277",1898-10-04,92,68,0
"278",1898-10-05,88,70,0.2
"279",1898-10-06,88,70,0
"280",1898-10-07,88,66,0
"281",1898-10-08,88,70,0
"282",1898-10-09,86,68,0
"283",1898-10-10,88,70,0
"284",1898-10-11,85,58,0
"285",1898-10-12,82,58,0
"286",1898-10-13,81,55,0
"287",1898-10-14,75,50,0
"288",1898-10-15,80,60,0
"289",1898-10-16,80,50,0
"290",1898-10-17,60,40,0
"291",1898-10-18,75,54,0
"292",1898-10-19,83,46,0.9
"293",1898-10-20,62,40,0
"294",1898-10-21,62,42,0
"295",1898-10-22,75,48,0
"296",1898-10-23,78,55,0
"297",1898-10-24,80,50,0
"298",1898-10-25,62,40,0
"299",1898-10-26,62,34,0
"300",1898-10-27,67,41,0
"301",1898-10-28,75,46,0
"302",1898-10-29,75,55,0
"303",1898-10-30,68,38,0
"304",1898-10-31,70,44,0
"305",1898-11-01,75,46,NA
"306",1898-11-02,72,50,NA
"307",1898-11-03,75,58,NA
"308",1898-11-04,75,62,NA
"309",1898-11-05,85,52,NA
"310",1898-11-06,78,38,NA
"311",1898-11-07,72,45,NA
"312",1898-11-08,80,50,NA
"313",1898-11-09,58,40,NA
"314",1898-11-10,55,40,0.6
"315",1898-11-11,51,42,NA
"316",1898-11-12,50,42,NA
"317",1898-11-13,56,40,NA
"318",1898-11-14,52,44,NA
"319",1898-11-15,60,35,NA
"320",1898-11-16,65,40,NA
"321",1898-11-17,75,48,NA
"322",1898-11-18,74,40,NA
"323",1898-11-19,78,50,0
"324",1898-11-20,75,46,0
"325",1898-11-21,65,30,0
"326",1898-11-22,48,30,0
"327",1898-11-23,55,30,0
"328",1898-11-24,53,38,0.01
"329",1898-11-25,45,35,0.1
"330",1898-11-26,48,40,NA
"331",1898-11-27,45,40,NA
"332",1898-11-28,68,45,NA
"333",1898-11-29,68,44,NA
"334",1898-11-30,75,45,NA
"335",1898-12-01,70,42,0
"336",1898-12-02,65,45,0
"337",1898-12-03,55,33,0
"338",1898-12-04,53,23,0
"339",1898-12-05,58,28,0
"340",1898-12-06,55,32,0
"341",1898-12-07,50,35,0
"342",1898-12-08,43,27,0
"343",1898-12-09,30,15,0.3
"344",1898-12-10,32,17,0
"345",1898-12-11,36,27,0
"346",1898-12-12,54,30,0
"347",1898-12-13,44,27,0
"348",1898-12-14,36,28,0
"349",1898-12-15,44,35,0
"350",1898-12-16,48,41,0.25
"351",1898-12-17,53,45,1
"352",1898-12-18,65,45,0
"353",1898-12-19,60,37,0
"354",1898-12-20,70,37,0
"355",1898-12-21,70,40,0
"356",1898-12-22,54,35,0
"357",1898-12-23,52,36,0
"358",1898-12-24,51,27,0
"359",1898-12-25,55,28,0
"360",1898-12-26,55,27,0
"361",1898-12-27,65,30,0
"362",1898-12-28,68,35,0
"363",1898-12-29,72,52,0
"364",1898-12-30,55,22,0
"365",1898-12-31,42,20,0
"366",1899-01-01,40,23,NA
"367",1899-01-02,52,30,NA
"368",1899-01-03,70,52,NA
"369",1899-01-04,75,45,NA
"370",1899-01-05,54,42,0.1
"371",1899-01-06,50,27,NA
"372",1899-01-07,55,30,NA
"373",1899-01-08,64,45,NA
"374",1899-01-09,60,45,0.5
"375",1899-01-10,56,37,NA
"376",1899-01-11,55,40,NA
"377",1899-01-12,70,55,0.2
"378",1899-01-13,70,40,NA
"379",1899-01-14,61,35,NA
"380",1899-01-15,60,40,NA
"381",1899-01-16,70,45,NA
"382",1899-01-17,62,30,NA
"383",1899-01-18,50,28,NA
"384",1899-01-19,55,30,NA
"385",1899-01-20,50,40,NA
"386",1899-01-21,55,38,NA
"387",1899-01-22,60,40,NA
"388",1899-01-23,55,30,NA
"389",1899-01-24,54,23,NA
"390",1899-01-25,55,28,NA
"391",1899-01-26,60,35,NA
"392",1899-01-27,47,24,0
"393",1899-01-28,52,25,NA
"394",1899-01-29,45,25,NA
"395",1899-01-30,62,20,NA
"396",1899-01-31,35,20,NA
"397",1899-02-01,54,28,0
"398",1899-02-02,60,45,0
"399",1899-02-03,70,32,0
"400",1899-02-04,38,25,0
"401",1899-02-05,30,20,0
"402",1899-02-06,30,18,0
"403",1899-02-07,32,10,0
"404",1899-02-08,45,21,0
"405",1899-02-09,48,17,0
"406",1899-02-10,35,20,0
"407",1899-02-11,25,10,0
"408",1899-02-12,20,-1,0
"409",1899-02-13,35,2,0
"410",1899-02-14,38,10,0.01
"411",1899-02-15,50,25,0
"412",1899-02-16,52,35,0
"413",1899-02-17,65,35,0
"414",1899-02-18,65,31,0
"415",1899-02-19,68,33,0
"416",1899-02-20,70,40,0
"417",1899-02-21,75,50,0
"418",1899-02-22,76,40,0
"419",1899-02-23,45,29,0
"420",1899-02-24,58,30,0.8
"421",1899-02-25,70,33,0.1
"422",1899-02-26,73,32,0
"423",1899-02-27,66,31,0
"424",1899-02-28,75,40,0
"425",1899-03-01,85,50,0
"426",1899-03-02,86,50,0
"427",1899-03-03,85,60,0
"428",1899-03-04,65,46,0
"429",1899-03-05,65,34,0
"430",1899-03-06,45,31,0
"431",1899-03-07,75,32,0
"432",1899-03-08,75,40,0
"433",1899-03-09,75,47,0
"434",1899-03-10,72,57,0
"435",1899-03-11,70,60,0
"436",1899-03-12,71,42,0
"437",1899-03-13,65,41,0
"438",1899-03-14,77,52,0
"439",1899-03-15,66,51,0
"440",1899-03-16,72,42,0
"441",1899-03-17,72,50,0
"442",1899-03-18,75,62,0
"443",1899-03-19,70,38,0
"444",1899-03-20,76,42,0
"445",1899-03-21,82,50,0
"446",1899-03-22,83,55,0
"447",1899-03-23,80,50,0
"448",1899-03-24,82,52,0
"449",1899-03-25,95,65,0
"450",1899-03-26,80,NA,0
"451",1899-03-27,NA,40,0
"452",1899-03-28,55,30,0
"453",1899-03-29,70,29,0
"454",1899-03-30,82,48,0
"455",1899-03-31,56,42,0
"456",1899-04-01,65,36,0
"457",1899-04-02,78,45,0
"458",1899-04-03,84,55,0
"459",1899-04-04,58,45,0
"460",1899-04-05,50,40,1
"461",1899-04-06,55,48,0
"462",1899-04-07,68,36,0
"463",1899-04-08,70,43,0
"464",1899-04-09,78,46,0
"465",1899-04-10,84,52,0
"466",1899-04-11,82,58,0
"467",1899-04-12,82,65,0
"468",1899-04-13,84,63,0
"469",1899-04-14,83,65,0
"470",1899-04-15,70,62,0.2
"471",1899-04-16,64,60,0.3
"472",1899-04-17,75,58,0
"473",1899-04-18,82,63,0
"474",1899-04-19,83,62,0
"475",1899-04-20,82,NA,0.6
"476",1899-04-21,NA,46,0.1
"477",1899-04-22,70,42,0.2
"478",1899-04-23,83,45,0
"479",1899-04-24,82,64,0
"480",1899-04-25,87,67,0
"481",1899-04-26,92,66,0
"482",1899-04-27,88,68,0
"483",1899-04-28,87,67,0
"484",1899-04-29,88,69,0
"485",1899-04-30,88,67,0
"486",1899-05-01,82,72,NA
"487",1899-05-02,80,68,NA
"488",1899-05-03,78,68,1.5
"489",1899-05-04,77,58,NA
"490",1899-05-05,78,65,0
"491",1899-05-06,82,68,NA
"492",1899-05-07,82,68,NA
"493",1899-05-08,85,70,NA
"494",1899-05-09,88,68,NA
"495",1899-05-10,82,70,0.1
"496",1899-05-11,77,60,2.1
"497",1899-05-12,90,64,NA
"498",1899-05-13,88,70,NA
"499",1899-05-14,87,65,NA
"500",1899-05-15,88,68,NA
"501",1899-05-16,88,70,NA
"502",1899-05-17,90,68,NA
"503",1899-05-18,90,70,NA
"504",1899-05-19,88,68,NA
"505",1899-05-20,90,69,NA
"506",1899-05-21,88,72,NA
"507",1899-05-22,92,72,NA
"508",1899-05-23,94,67,NA
"509",1899-05-24,93,68,NA
"510",1899-05-25,93,69,NA
"511",1899-05-26,90,70,NA
"512",1899-05-27,90,72,NA
"513",1899-05-28,94,72,NA
"514",1899-05-29,92,70,NA
"515",1899-05-30,90,74,NA
"516",1899-05-31,92,75,NA
"517",1899-06-01,87,74,NA
"518",1899-06-02,92,75,NA
"519",1899-06-03,93,73,NA
"520",1899-06-04,94,75,NA
"521",1899-06-05,92,75,NA
"522",1899-06-06,87,73,0.4
"523",1899-06-07,88,68,NA
"524",1899-06-08,90,70,NA
"525",1899-06-09,90,70,NA
"526",1899-06-10,93,70,NA
"527",1899-06-11,94,68,NA
"528",1899-06-12,93,74,NA
"529",1899-06-13,90,73,0.1
"530",1899-06-14,92,70,NA
"531",1899-06-15,88,72,1
"532",1899-06-16,90,70,0.7
"533",1899-06-17,82,68,NA
"534",1899-06-18,85,62,NA
"535",1899-06-19,92,60,NA
"536",1899-06-20,90,65,NA
"537",1899-06-21,92,66,NA
"538",1899-06-22,92,66,NA
"539",1899-06-23,90,66,NA
"540",1899-06-24,96,68,NA
"541",1899-06-25,95,70,NA
"542",1899-06-26,96,70,NA
"543",1899-06-27,85,72,0.4
"544",1899-06-28,84,68,1.2
"545",1899-06-29,85,70,NA
"546",1899-06-30,88,68,NA
"547",1899-07-01,86,65,2.5
"548",1899-07-02,90,67,0.5
"549",1899-07-03,86,70,0
"550",1899-07-04,96,71,0
"551",1899-07-05,95,72,0
"552",1899-07-06,92,74,0
"553",1899-07-07,95,72,0
"554",1899-07-08,94,70,0
"555",1899-07-09,95,71,0
"556",1899-07-10,93,72,0
"557",1899-07-11,91,65,0
"558",1899-07-12,90,65,0
"559",1899-07-13,92,68,0
"560",1899-07-14,93,69,0
"561",1899-07-15,95,71,0
"562",1899-07-16,95,72,0
"563",1899-07-17,96,72,0
"564",1899-07-18,97,71,0
"565",1899-07-19,98,72,0
"566",1899-07-20,98,72,0
"567",1899-07-21,99,74,0
"568",1899-07-22,99,72,0
"569",1899-07-23,101,73,0
"570",1899-07-24,95,75,0
"571",1899-07-25,99,72,0.3
"572",1899-07-26,98,74,0.5
"573",1899-07-27,95,68,0
"574",1899-07-28,93,69,0.4
"575",1899-07-29,93,72,0
"576",1899-07-30,95,73,0
"577",1899-07-31,96,70,0
"578",1899-08-01,96,70,0
"579",1899-08-02,97,71,0
"580",1899-08-03,98,70,0
"581",1899-08-04,97,70,0
"582",1899-08-05,97,70,0
"583",1899-08-06,99,72,0
"584",1899-08-07,97,73,0
"585",1899-08-08,98,71,0
"586",1899-08-09,98,70,0
"587",1899-08-10,97,70,0
"588",1899-08-11,98,72,0
"589",1899-08-12,97,71,0
"590",1899-08-13,98,70,0
"591",1899-08-14,98,72,0
"592",1899-08-15,99,72,0
"593",1899-08-16,97,74,0
"594",1899-08-17,97,73,0
"595",1899-08-18,100,75,0
"596",1899-08-19,100,74,0
"597",1899-08-20,101,75,0
"598",1899-08-21,98,74,0
"599",1899-08-22,99,72,0
"600",1899-08-23,99,74,0
"601",1899-08-24,100,73,0
"602",1899-08-25,98,74,0
"603",1899-08-26,98,74,0
"604",1899-08-27,98,72,0
"605",1899-08-28,100,72,0
"606",1899-08-29,98,72,0
"607",1899-08-30,98,70,0
"608",1899-08-31,96,68,0.4
"609",1899-09-01,91,70,0.2
"610",1899-09-02,90,68,0.1
"611",1899-09-03,94,68,0
"612",1899-09-04,95,68,0
"613",1899-09-05,96,68,0
"614",1899-09-06,95,72,0
"615",1899-09-07,94,72,0
"616",1899-09-08,95,70,0.1
"617",1899-09-09,93,72,0.4
"618",1899-09-10,94,70,0
"619",1899-09-11,93,70,0
"620",1899-09-12,93,70,0
"621",1899-09-13,95,62,0
"622",1899-09-14,95,65,0
"623",1899-09-15,92,68,0
"624",1899-09-16,90,70,0
"625",1899-09-17,80,65,0.8
"626",1899-09-18,83,65,0
"627",1899-09-19,80,56,0
"628",1899-09-20,82,56,0
"629",1899-09-21,82,52,0
"630",1899-09-22,83,54,0
"631",1899-09-23,88,56,0
"632",1899-09-24,90,57,0
"633",1899-09-25,85,57,0
"634",1899-09-26,80,58,0
"635",1899-09-27,85,48,0
"636",1899-09-28,85,55,0
"637",1899-09-29,84,58,0
"638",1899-09-30,85,58,0
"639",1899-10-01,85,55,0
"640",1899-10-02,83,50,0
"641",1899-10-03,80,55,0
"642",1899-10-04,81,65,0
"643",1899-10-05,80,58,0
"644",1899-10-06,78,52,0
"645",1899-10-07,83,45,0
"646",1899-10-08,85,50,0
"647",1899-10-09,78,52,0
"648",1899-10-10,80,65,0.4
"649",1899-10-11,90,63,0
"650",1899-10-12,92,74,0
"651",1899-10-13,93,72,0
"652",1899-10-14,90,71,0
"653",1899-10-15,88,64,0
"654",1899-10-16,84,68,0.1
"655",1899-10-17,70,58,1.2
"656",1899-10-18,88,65,0
"657",1899-10-19,90,65,0.3
"658",1899-10-20,88,64,0
"659",1899-10-21,88,65,0
"660",1899-10-22,88,60,0
"661",1899-10-23,86,64,0
"662",1899-10-24,81,63,0
"663",1899-10-25,80,65,0.35
"664",1899-10-26,84,66,3.1
"665",1899-10-27,75,55,0
"666",1899-10-28,70,50,0
"667",1899-10-29,70,43,0
"668",1899-10-30,70,39,0
"669",1899-10-31,72,41,0
"670",1899-11-01,64,45,NA
"671",1899-11-02,50,34,NA
"672",1899-11-03,58,30,NA
"673",1899-11-04,63,28,NA
"674",1899-11-05,68,33,NA
"675",1899-11-06,66,50,NA
"676",1899-11-07,72,45,NA
"677",1899-11-08,75,44,NA
"678",1899-11-09,75,45,NA
"679",1899-11-10,75,45,NA
"680",1899-11-11,80,48,NA
"681",1899-11-12,82,48,NA
"682",1899-11-13,80,55,NA
"683",1899-11-14,78,60,NA
"684",1899-11-15,82,52,NA
"685",1899-11-16,80,55,NA
"686",1899-11-17,82,65,NA
"687",1899-11-18,78,65,NA
"688",1899-11-19,78,64,2.1
"689",1899-11-20,78,52,NA
